id,dia,hora_inicio,hora_fin,curso_id,docente_id,seccion_id
3375,Viernes,08:00:00,09:30:00,133,312,514
3376,Jueves,08:00:00,09:30:00,139,323,514
3377,Martes,09:30:00,11:00:00,134,314,514
3378,Viernes,09:30:00,11:00:00,135,316,514
3379,Martes,09:30:00,11:00:00,136,317,515
3380,Viernes,11:30:00,13:00:00,138,321,515
3381,Martes,08:00:00,09:30:00,139,324,515
3382,Viernes,09:30:00,11:00:00,133,312,515
3383,Jueves,08:00:00,09:30:00,137,319,515
3384,Jueves,11:30:00,13:00:00,132,310,515
3385,Lunes,09:30:00,11:00:00,134,313,515
3386,Lunes,11:30:00,13:00:00,135,315,515
3387,Jueves,11:30:00,13:00:00,136,318,516
3388,Jueves,08:00:00,09:30:00,139,324,516
3389,Viernes,11:30:00,13:00:00,133,311,516
3390,Lunes,11:30:00,13:00:00,138,321,516
3391,Viernes,08:00:00,09:30:00,134,314,516
3392,Martes,09:30:00,11:00:00,132,310,516
3393,Martes,08:00:00,09:30:00,135,315,516
3394,Miercoles,08:00:00,09:30:00,137,319,516
3395,Jueves,09:30:00,11:00:00,134,314,517
3396,Viernes,08:00:00,09:30:00,137,320,517
3397,Lunes,11:30:00,13:00:00,135,316,517
3398,Miercoles,11:30:00,13:00:00,133,311,517
3399,Miercoles,08:00:00,09:30:00,136,318,517
3400,Viernes,11:30:00,13:00:00,139,324,517
3401,Miercoles,09:30:00,11:00:00,138,321,517
3402,Viernes,09:30:00,11:00:00,132,309,517
3403,Miercoles,09:30:00,11:00:00,134,313,518
3404,Martes,11:30:00,13:00:00,133,312,518
3405,Viernes,11:30:00,13:00:00,138,322,518
3406,Lunes,09:30:00,11:00:00,135,315,518
3407,Miercoles,08:00:00,09:30:00,137,320,518
3408,Lunes,11:30:00,13:00:00,132,309,518
3409,Viernes,09:30:00,11:00:00,139,324,518
3410,Jueves,09:30:00,11:00:00,136,318,518
3411,Martes,11:30:00,13:00:00,132,310,519
3412,Miercoles,09:30:00,11:00:00,133,311,519
3413,Miercoles,11:30:00,13:00:00,135,315,519
3414,Lunes,11:30:00,13:00:00,137,320,519
3415,Jueves,08:00:00,09:30:00,138,322,519
3416,Viernes,11:30:00,13:00:00,134,314,519
3417,Martes,08:00:00,09:30:00,136,318,519
3418,Miercoles,08:00:00,09:30:00,139,323,519
3419,Viernes,11:30:00,13:00:00,135,316,520
3420,Lunes,09:30:00,11:00:00,139,324,520
3421,Miercoles,08:00:00,09:30:00,138,322,520
3422,Lunes,08:00:00,09:30:00,134,313,520
3423,Viernes,09:30:00,11:00:00,132,310,520
3424,Martes,09:30:00,11:00:00,133,311,520
3425,Jueves,09:30:00,11:00:00,137,320,520
3426,Jueves,08:00:00,09:30:00,136,318,520
3427,Lunes,09:30:00,11:00:00,134,314,521
3428,Miercoles,09:30:00,11:00:00,133,312,521
3429,Jueves,08:00:00,09:30:00,135,316,521
3430,Lunes,11:30:00,13:00:00,138,322,521
3431,Martes,09:30:00,11:00:00,136,318,521
3432,Miercoles,08:00:00,09:30:00,132,310,521
3433,Martes,11:30:00,13:00:00,139,323,521
3434,Martes,08:00:00,09:30:00,137,319,521
