id,calificacion,estudiante_id,evaluacion_id
2554987,16,8945,4919
2554988,18,8945,4920
2554989,17,8945,4921
2554990,18,9197,4919
2554991,16,9197,4920
2554992,16,9197,4921
2554993,18,9232,4919
2554994,17,9232,4920
2554995,17,9232,4921
2554996,13,9078,4919
2554997,11,9078,4920
2554998,11,9078,4921
2554999,14,8946,4919
2555000,17,8946,4920
2555001,16,8946,4921
2555002,19,9119,4919
2555003,15,9119,4920
2555004,16,9119,4921
2555005,15,9212,4919
2555006,16,9212,4920
2555007,13,9212,4921
2555008,17,9248,4919
2555009,17,9248,4920
2555010,15,9248,4921
2555011,17,9185,4919
2555012,17,9185,4920
2555013,16,9185,4921
2555014,15,9036,4919
2555015,17,9036,4920
2555016,17,9036,4921
2555017,14,9000,4919
2555018,13,9000,4920
2555019,14,9000,4921
2555020,16,8955,4919
2555021,13,8955,4920
2555022,14,8955,4921
2555023,16,9288,4919
2555024,16,9288,4920
2555025,16,9288,4921
2555026,16,9014,4919
2555027,15,9014,4920
2555028,14,9014,4921
2555029,18,8999,4919
2555030,17,8999,4920
2555031,15,8999,4921
2555032,18,8944,4919
2555033,15,8944,4920
2555034,16,8944,4921
2555035,18,9213,4919
2555036,16,9213,4920
2555037,16,9213,4921
2555038,18,9105,4919
2555039,18,9105,4920
2555040,16,9105,4921
2555041,13,9273,4919
2555042,14,9273,4920
2555043,10,9273,4921
2555044,11,9140,4919
2555045,10,9140,4920
2555046,9,9140,4921
2555047,16,9131,4919
2555048,16,9131,4920
2555049,16,9131,4921
2555050,14,8984,4919
2555051,13,8984,4920
2555052,14,8984,4921
2555053,17,9042,4919
2555054,15,9042,4920
2555055,14,9042,4921
2555056,15,9151,4919
2555057,16,9151,4920
2555058,14,9151,4921
2555059,16,8976,4919
2555060,15,8976,4920
2555061,13,8976,4921
2555062,12,9104,4919
2555063,10,9104,4920
2555064,10,9104,4921
2555065,16,9170,4919
2555066,16,9170,4920
2555067,14,9170,4921
2555068,11,9141,4919
2555069,11,9141,4920
2555070,9,9141,4921
2555071,17,9164,4919
2555072,18,9164,4920
2555073,16,9164,4921
2555074,17,9256,4919
2555075,15,9256,4920
2555076,16,9256,4921
2555077,15,9144,4919
2555078,16,9144,4920
2555079,13,9144,4921
2555080,16,9079,4919
2555081,14,9079,4920
2555082,15,9079,4921
2555083,16,9150,4919
2555084,15,9150,4920
2555085,14,9150,4921
2555086,16,9274,4919
2555087,16,9274,4920
2555088,14,9274,4921
2555089,18,9335,4919
2555090,19,9335,4920
2555091,18,9335,4921
2555092,14,9010,4919
2555093,14,9010,4920
2555094,15,9010,4921
2555095,18,9320,4919
2555096,18,9320,4920
2555097,18,9320,4921
2555098,17,8943,4919
2555099,17,8943,4920
2555100,15,8943,4921
2555101,15,8992,4919
2555102,15,8992,4920
2555103,15,8992,4921
2555104,20,9258,4919
2555105,18,9258,4920
2555106,17,9258,4921
2555107,17,9187,4919
2555108,17,9187,4920
2555109,14,9187,4921
2555110,13,9063,4919
2555111,14,9063,4920
2555112,12,9063,4921
2555113,19,9262,4919
2555114,18,9262,4920
2555115,17,9262,4921
2555116,15,9149,4919
2555117,15,9149,4920
2555118,13,9149,4921
2555119,14,9050,4919
2555120,15,9050,4920
2555121,12,9050,4921
2555122,17,8958,4919
2555123,16,8958,4920
2555124,16,8958,4921
2555125,15,9323,4919
2555126,13,9323,4920
2555127,15,9323,4921
2555128,15,9087,4919
2555129,14,9087,4920
2555130,13,9087,4921
2555131,18,9179,4919
2555132,16,9179,4920
2555133,16,9179,4921
2555134,15,9167,4919
2555135,14,9167,4920
2555136,14,9167,4921
2555137,16,8963,4919
2555138,15,8963,4920
2555139,17,8963,4921
2555140,16,9125,4919
2555141,16,9125,4920
2555142,14,9125,4921
2555143,16,9029,4919
2555144,16,9029,4920
2555145,17,9029,4921
2555146,18,9015,4919
2555147,16,9015,4920
2555148,14,9015,4921
2555149,12,9084,4919
2555150,13,9084,4920
2555151,12,9084,4921
2555152,12,9147,4919
2555153,10,9147,4920
2555154,9,9147,4921
2555155,17,8948,4919
2555156,14,8948,4920
2555157,15,8948,4921
2555158,15,9295,4919
2555159,13,9295,4920
2555160,14,9295,4921
2555161,17,9136,4919
2555162,16,9136,4920
2555163,14,9136,4921
2555164,17,9339,4919
2555165,16,9339,4920
2555166,15,9339,4921
2555167,17,9171,4919
2555168,17,9171,4920
2555169,17,9171,4921
2555170,14,9201,4919
2555171,17,9201,4920
2555172,16,9201,4921
2555173,16,9306,4919
2555174,17,9306,4920
2555175,15,9306,4921
2555176,17,9249,4919
2555177,16,9249,4920
2555178,15,9249,4921
2555179,18,9203,4919
2555180,17,9203,4920
2555181,16,9203,4921
2555182,16,8972,4919
2555183,17,8972,4920
2555184,17,8972,4921
2555185,18,9020,4919
2555186,18,9020,4920
2555187,17,9020,4921
2555188,16,9080,4919
2555189,16,9080,4920
2555190,13,9080,4921
2555191,17,9311,4919
2555192,15,9311,4920
2555193,15,9311,4921
2555194,18,9154,4919
2555195,16,9154,4920
2555196,16,9154,4921
2555197,15,9052,4919
2555198,15,9052,4920
2555199,13,9052,4921
2555200,15,9101,4919
2555201,14,9101,4920
2555202,16,9101,4921
2555203,14,9205,4919
2555204,13,9205,4920
2555205,11,9205,4921
2555206,16,9113,4919
2555207,14,9113,4920
2555208,13,9113,4921
2555209,19,9096,4919
2555210,17,9096,4920
2555211,16,9096,4921
2555212,15,9021,4919
2555213,11,9021,4920
2555214,14,9021,4921
2555215,16,8990,4919
2555216,12,8990,4920
2555217,15,8990,4921
2555218,13,8966,4919
2555219,12,8966,4920
2555220,12,8966,4921
2555221,17,9200,4919
2555222,17,9200,4920
2555223,15,9200,4921
2555224,11,9283,4919
2555225,13,9283,4920
2555226,10,9283,4921
2555227,16,9114,4919
2555228,16,9114,4920
2555229,15,9114,4921
2555230,15,9245,4919
2555231,15,9245,4920
2555232,14,9245,4921
2555233,17,9058,4919
2555234,17,9058,4920
2555235,14,9058,4921
2555236,14,9124,4919
2555237,14,9124,4920
2555238,16,9124,4921
2555239,17,9276,4919
2555240,17,9276,4920
2555241,17,9276,4921
2555242,16,9077,4919
2555243,15,9077,4920
2555244,13,9077,4921
2555245,13,9139,4919
2555246,11,9139,4920
2555247,12,9139,4921
2555248,13,9238,4919
2555249,12,9238,4920
2555250,12,9238,4921
2555251,15,9057,4919
2555252,16,9057,4920
2555253,15,9057,4921
2555254,16,9043,4919
2555255,16,9043,4920
2555256,14,9043,4921
2555257,16,9061,4919
2555258,15,9061,4920
2555259,16,9061,4921
2555260,18,9338,4919
2555261,17,9338,4920
2555262,20,9338,4921
2555263,16,9037,4919
2555264,17,9037,4920
2555265,16,9037,4921
2555266,14,9290,4919
2555267,14,9290,4920
2555268,12,9290,4921
2555269,13,9076,4919
2555270,13,9076,4920
2555271,13,9076,4921
2555272,13,9189,4919
2555273,12,9189,4920
2555274,11,9189,4921
2555275,17,9199,4919
2555276,17,9199,4920
2555277,16,9199,4921
2555278,18,9218,4919
2555279,17,9218,4920
2555280,19,9218,4921
2555281,18,9074,4919
2555282,16,9074,4920
2555283,17,9074,4921
2555284,16,9068,4919
2555285,15,9068,4920
2555286,15,9068,4921
2555287,14,8953,4919
2555288,15,8953,4920
2555289,14,8953,4921
2555290,14,8989,4919
2555291,16,8989,4920
2555292,16,8989,4921
2555293,17,9291,4919
2555294,16,9291,4920
2555295,14,9291,4921
2555296,12,9271,4919
2555297,11,9271,4920
2555298,12,9271,4921
2555299,18,9277,4919
2555300,18,9277,4920
2555301,17,9277,4921
2555302,16,9163,4919
2555303,16,9163,4920
2555304,15,9163,4921
2555305,16,9285,4919
2555306,14,9285,4920
2555307,15,9285,4921
2555308,16,9224,4919
2555309,14,9224,4920
2555310,15,9224,4921
2555311,11,9066,4919
2555312,12,9066,4920
2555313,13,9066,4921
2555314,16,9069,4919
2555315,15,9069,4920
2555316,14,9069,4921
2555317,17,9160,4919
2555318,16,9160,4920
2555319,14,9160,4921
2555320,18,9325,4919
2555321,19,9325,4920
2555322,16,9325,4921
2555323,17,9155,4919
2555324,15,9155,4920
2555325,14,9155,4921
2555326,15,9214,4919
2555327,16,9214,4920
2555328,15,9214,4921
2555329,18,9219,4919
2555330,16,9219,4920
2555331,16,9219,4921
2555332,11,8949,4919
2555333,12,8949,4920
2555334,11,8949,4921
2555335,16,9305,4919
2555336,16,9305,4920
2555337,16,9305,4921
2555338,13,9194,4919
2555339,13,9194,4920
2555340,11,9194,4921
2555341,16,9228,4919
2555342,15,9228,4920
2555343,14,9228,4921
2555344,13,9225,4919
2555345,12,9225,4920
2555346,12,9225,4921
2555347,16,9299,4919
2555348,15,9299,4920
2555349,14,9299,4921
2555350,15,9092,4919
2555351,15,9092,4920
2555352,15,9092,4921
2555353,13,9234,4919
2555354,13,9234,4920
2555355,11,9234,4921
2555356,16,9319,4919
2555357,15,9319,4920
2555358,15,9319,4921
2555359,16,9130,4919
2555360,16,9130,4920
2555361,15,9130,4921
2555362,16,9054,4919
2555363,16,9054,4920
2555364,14,9054,4921
2555365,14,9111,4919
2555366,15,9111,4920
2555367,14,9111,4921
2555368,14,9268,4919
2555369,14,9268,4920
2555370,11,9268,4921
2555371,15,9284,4919
2555372,16,9284,4920
2555373,14,9284,4921
2555374,14,8981,4919
2555375,13,8981,4920
2555376,13,8981,4921
2555377,16,9156,4919
2555378,16,9156,4920
2555379,15,9156,4921
2555380,16,9046,4919
2555381,15,9046,4920
2555382,15,9046,4921
2555383,13,9031,4919
2555384,13,9031,4920
2555385,13,9031,4921
2555386,18,9243,4919
2555387,18,9243,4920
2555388,15,9243,4921
2555389,15,9241,4919
2555390,14,9241,4920
2555391,13,9241,4921
2555392,16,8964,4919
2555393,15,8964,4920
2555394,16,8964,4921
2555395,13,9071,4919
2555396,14,9071,4920
2555397,12,9071,4921
2555398,15,9019,4919
2555399,14,9019,4920
2555400,14,9019,4921
2555401,13,9035,4919
2555402,11,9035,4920
2555403,8,9035,4921
2555404,18,9175,4919
2555405,18,9175,4920
2555406,17,9175,4921
2555407,17,9242,4919
2555408,17,9242,4920
2555409,17,9242,4921
2555410,17,9121,4919
2555411,18,9121,4920
2555412,18,9121,4921
2555413,15,9095,4919
2555414,14,9095,4920
2555415,15,9095,4921
2555416,16,9266,4919
2555417,16,9266,4920
2555418,14,9266,4921
2555419,15,9006,4919
2555420,13,9006,4920
2555421,14,9006,4921
2555422,18,8962,4919
2555423,18,8962,4920
2555424,17,8962,4921
2555425,12,9181,4919
2555426,13,9181,4920
2555427,10,9181,4921
2555428,14,9231,4919
2555429,13,9231,4920
2555430,11,9231,4921
2555431,13,9174,4919
2555432,14,9174,4920
2555433,12,9174,4921
2555434,15,9310,4919
2555435,15,9310,4920
2555436,15,9310,4921
2555437,14,9340,4919
2555438,15,9340,4920
2555439,13,9340,4921
2555440,10,9226,4919
2555441,11,9226,4920
2555442,12,9226,4921
2555443,17,9330,4919
2555444,16,9330,4920
2555445,15,9330,4921
2555446,15,8965,4919
2555447,16,8965,4920
2555448,15,8965,4921
2555449,13,9004,4919
2555450,11,9004,4920
2555451,12,9004,4921
2555452,15,9137,4919
2555453,16,9137,4920
2555454,12,9137,4921
2555455,11,9216,4919
2555456,10,9216,4920
2555457,10,9216,4921
2555458,16,9100,4919
2555459,16,9100,4920
2555460,16,9100,4921
2555461,17,9223,4919
2555462,14,9223,4920
2555463,15,9223,4921
2555464,19,9183,4919
2555465,18,9183,4920
2555466,18,9183,4921
2555467,15,9044,4919
2555468,13,9044,4920
2555469,14,9044,4921
2555470,15,9303,4919
2555471,15,9303,4920
2555472,15,9303,4921
2555473,12,9038,4919
2555474,11,9038,4920
2555475,12,9038,4921
2555476,19,9294,4919
2555477,19,9294,4920
2555478,18,9294,4921
2555479,19,9133,4919
2555480,18,9133,4920
2555481,17,9133,4921
2555482,15,9008,4919
2555483,13,9008,4920
2555484,12,9008,4921
2555485,15,8942,4919
2555486,14,8942,4920
2555487,15,8942,4921
2555488,11,8954,4919
2555489,9,8954,4920
2555490,11,8954,4921
2555491,13,9067,4919
2555492,11,9067,4920
2555493,9,9067,4921
2555494,15,9099,4919
2555495,15,9099,4920
2555496,15,9099,4921
2555497,16,8973,4919
2555498,16,8973,4920
2555499,15,8973,4921
2555500,17,9022,4919
2555501,16,9022,4920
2555502,15,9022,4921
2555503,13,9112,4919
2555504,14,9112,4920
2555505,15,9112,4921
2555506,15,9328,4919
2555507,16,9328,4920
2555508,14,9328,4921
2555509,14,9143,4919
2555510,14,9143,4920
2555511,13,9143,4921
2555512,14,8993,4919
2555513,15,8993,4920
2555514,12,8993,4921
2555515,19,9166,4919
2555516,18,9166,4920
2555517,17,9166,4921
2555518,13,9065,4919
2555519,11,9065,4920
2555520,11,9065,4921
2555521,17,9333,4919
2555522,17,9333,4920
2555523,15,9333,4921
2555524,17,9120,4919
2555525,15,9120,4920
2555526,14,9120,4921
2555527,16,8947,4919
2555528,16,8947,4920
2555529,15,8947,4921
2555530,16,9215,4919
2555531,18,9215,4920
2555532,18,9215,4921
2555533,16,8950,4919
2555534,16,8950,4920
2555535,17,8950,4921
2555536,16,9198,4919
2555537,16,9198,4920
2555538,15,9198,4921
2555539,17,9045,4919
2555540,16,9045,4920
2555541,17,9045,4921
2555542,17,9108,4919
2555543,18,9108,4920
2555544,17,9108,4921
2555545,17,9083,4919
2555546,16,9083,4920
2555547,14,9083,4921
2555548,16,9336,4919
2555549,17,9336,4920
2555550,17,9336,4921
2555551,15,9251,4919
2555552,13,9251,4920
2555553,12,9251,4921
2555554,12,9102,4919
2555555,11,9102,4920
2555556,9,9102,4921
2555557,12,9267,4919
2555558,13,9267,4920
2555559,11,9267,4921
2555560,11,9281,4919
2555561,11,9281,4920
2555562,9,9281,4921
2555563,11,9117,4919
2555564,12,9117,4920
2555565,11,9117,4921
2555566,15,9013,4919
2555567,14,9013,4920
2555568,13,9013,4921
2555569,18,9220,4919
2555570,19,9220,4920
2555571,17,9220,4921
2555572,18,9055,4919
2555573,15,9055,4920
2555574,16,9055,4921
2555575,16,9115,4919
2555576,17,9115,4920
2555577,14,9115,4921
2555578,15,8998,4919
2555579,13,8998,4920
2555580,14,8998,4921
2555581,15,8969,4919
2555582,13,8969,4920
2555583,14,8969,4921
2555584,14,9027,4919
2555585,14,9027,4920
2555586,12,9027,4921
2555587,12,9308,4919
2555588,13,9308,4920
2555589,13,9308,4921
2555590,16,9270,4919
2555591,16,9270,4920
2555592,14,9270,4921
2555593,17,9138,4919
2555594,17,9138,4920
2555595,16,9138,4921
2555596,18,9304,4919
2555597,17,9304,4920
2555598,15,9304,4921
2555599,17,8971,4919
2555600,17,8971,4920
2555601,14,8971,4921
2555602,18,9134,4919
2555603,19,9134,4920
2555604,16,9134,4921
2555605,15,9011,4919
2555606,14,9011,4920
2555607,15,9011,4921
2555608,17,9039,4919
2555609,17,9039,4920
2555610,17,9039,4921
2555611,13,9075,4919
2555612,12,9075,4920
2555613,11,9075,4921
2555614,18,9072,4919
2555615,19,9072,4920
2555616,17,9072,4921
2555617,12,9184,4919
2555618,11,9184,4920
2555619,9,9184,4921
2555620,16,9016,4919
2555621,17,9016,4920
2555622,16,9016,4921
2555623,18,9041,4919
2555624,16,9041,4920
2555625,17,9041,4921
2555626,14,9208,4919
2555627,16,9208,4920
2555628,14,9208,4921
2555629,17,9275,4919
2555630,15,9275,4920
2555631,13,9275,4921
2555632,14,9239,4919
2555633,15,9239,4920
2555634,15,9239,4921
2555635,18,9173,4919
2555636,17,9173,4920
2555637,17,9173,4921
2555638,17,9289,4919
2555639,17,9289,4920
2555640,17,9289,4921
2555641,17,9172,4919
2555642,16,9172,4920
2555643,14,9172,4921
2555644,16,9110,4919
2555645,15,9110,4920
2555646,15,9110,4921
2555647,15,9236,4919
2555648,13,9236,4920
2555649,15,9236,4921
2555650,11,9337,4919
2555651,10,9337,4920
2555652,10,9337,4921
2555653,12,9165,4919
2555654,10,9165,4920
2555655,12,9165,4921
2555656,16,8951,4919
2555657,14,8951,4920
2555658,14,8951,4921
2555659,16,9191,4919
2555660,15,9191,4920
2555661,15,9191,4921
2555662,14,9282,4919
2555663,13,9282,4920
2555664,14,9282,4921
2555665,16,9028,4919
2555666,17,9028,4920
2555667,15,9028,4921
2555668,16,8987,4919
2555669,17,8987,4920
2555670,16,8987,4921
2555671,14,9168,4919
2555672,14,9168,4920
2555673,12,9168,4921
2555674,18,9298,4919
2555675,16,9298,4920
2555676,15,9298,4921
2555677,17,9017,4919
2555678,15,9017,4920
2555679,16,9017,4921
2555680,13,9062,4919
2555681,12,9062,4920
2555682,11,9062,4921
2555683,17,9128,4919
2555684,16,9128,4920
2555685,15,9128,4921
2555686,18,9169,4919
2555687,17,9169,4920
2555688,13,9169,4921
2555689,16,8957,4919
2555690,16,8957,4920
2555691,16,8957,4921
2555692,13,9059,4919
2555693,10,9059,4920
2555694,11,9059,4921
2555695,14,8978,4919
2555696,13,8978,4920
2555697,13,8978,4921
2555698,16,9064,4919
2555699,14,9064,4920
2555700,15,9064,4921
2555701,18,9196,4919
2555702,16,9196,4920
2555703,16,9196,4921
2555704,18,9053,4919
2555705,17,9053,4920
2555706,17,9053,4921
2555707,16,9145,4919
2555708,16,9145,4920
2555709,14,9145,4921
2555710,16,8997,4919
2555711,15,8997,4920
2555712,14,8997,4921
2555713,18,9161,4919
2555714,18,9161,4920
2555715,17,9161,4921
2555716,15,9237,4919
2555717,15,9237,4920
2555718,14,9237,4921
2555719,17,9153,4919
2555720,13,9153,4920
2555721,14,9153,4921
2555722,16,9026,4919
2555723,17,9026,4920
2555724,12,9026,4921
2555725,19,9192,4919
2555726,16,9192,4920
2555727,16,9192,4921
2555728,20,9132,4919
2555729,18,9132,4920
2555730,18,9132,4921
2555731,16,9162,4919
2555732,17,9162,4920
2555733,15,9162,4921
2555734,17,8960,4919
2555735,16,8960,4920
2555736,18,8960,4921
2555737,18,9177,4919
2555738,18,9177,4920
2555739,17,9177,4921
2555740,17,9157,4919
2555741,17,9157,4920
2555742,15,9157,4921
2555743,15,9186,4919
2555744,16,9186,4920
2555745,14,9186,4921
2555746,18,9086,4919
2555747,17,9086,4920
2555748,14,9086,4921
2555749,16,8982,4919
2555750,13,8982,4920
2555751,14,8982,4921
2555752,16,9158,4919
2555753,16,9158,4920
2555754,14,9158,4921
2555755,11,9049,4919
2555756,11,9049,4920
2555757,9,9049,4921
2555758,14,9178,4919
2555759,14,9178,4920
2555760,15,9178,4921
2555761,18,9332,4919
2555762,14,9332,4920
2555763,15,9332,4921
2555764,8,9030,4919
2555765,10,9030,4920
2555766,8,9030,4921
2555767,19,9051,4919
2555768,16,9051,4920
2555769,17,9051,4921
2555770,13,8977,4919
2555771,14,8977,4920
2555772,13,8977,4921
2555773,14,9012,4919
2555774,15,9012,4920
2555775,15,9012,4921
2555776,17,9314,4919
2555777,15,9314,4920
2555778,13,9314,4921
2555779,16,9024,4919
2555780,16,9024,4920
2555781,15,9024,4921
2555782,18,9093,4919
2555783,16,9093,4920
2555784,18,9093,4921
2555785,12,9315,4919
2555786,13,9315,4920
2555787,14,9315,4921
2555788,15,9142,4919
2555789,13,9142,4920
2555790,13,9142,4921
2555791,16,9217,4919
2555792,15,9217,4920
2555793,16,9217,4921
2555794,14,9126,4919
2555795,18,9126,4920
2555796,13,9126,4921
2555797,18,9070,4919
2555798,17,9070,4920
2555799,14,9070,4921
2555800,18,9313,4919
2555801,18,9313,4920
2555802,19,9313,4921
2555803,15,9180,4919
2555804,14,9180,4920
2555805,13,9180,4921
2555806,19,9005,4919
2555807,15,9005,4920
2555808,15,9005,4921
2555809,14,9244,4919
2555810,12,9244,4920
2555811,11,9244,4921
2555812,14,9091,4919
2555813,15,9091,4920
2555814,14,9091,4921
2555815,17,9327,4919
2555816,17,9327,4920
2555817,16,9327,4921
2555818,16,8986,4919
2555819,15,8986,4920
2555820,17,8986,4921
2555821,15,9316,4919
2555822,15,9316,4920
2555823,14,9316,4921
2555824,10,9116,4919
2555825,11,9116,4920
2555826,9,9116,4921
2555827,14,8979,4919
2555828,13,8979,4920
2555829,12,8979,4921
2555830,17,8994,4919
2555831,17,8994,4920
2555832,17,8994,4921
2555833,17,9247,4919
2555834,16,9247,4920
2555835,15,9247,4921
2555836,16,9206,4919
2555837,16,9206,4920
2555838,17,9206,4921
2555839,18,9118,4919
2555840,14,9118,4920
2555841,14,9118,4921
2555842,17,8980,4919
2555843,17,8980,4920
2555844,14,8980,4921
2555845,18,9326,4919
2555846,16,9326,4920
2555847,17,9326,4921
2555848,16,9312,4919
2555849,16,9312,4920
2555850,13,9312,4921
2555851,13,8956,4919
2555852,14,8956,4920
2555853,15,8956,4921
2555854,15,9269,4919
2555855,13,9269,4920
2555856,14,9269,4921
2555857,17,9261,4919
2555858,16,9261,4920
2555859,14,9261,4921
2555860,15,8967,4919
2555861,14,8967,4920
2555862,15,8967,4921
2555863,18,9023,4919
2555864,16,9023,4920
2555865,15,9023,4921
2555866,11,9097,4919
2555867,10,9097,4920
2555868,8,9097,4921
2555869,16,9098,4919
2555870,17,9098,4920
2555871,15,9098,4921
2555872,17,9322,4922
2555873,17,9322,4923
2555874,17,9322,4924
2555875,19,9148,4922
2555876,18,9148,4923
2555877,17,9148,4924
2555878,13,8991,4922
2555879,13,8991,4923
2555880,14,8991,4924
2555881,17,8952,4922
2555882,16,8952,4923
2555883,18,8952,4924
2555884,16,9280,4922
2555885,14,9280,4923
2555886,16,9280,4924
2555887,19,9034,4922
2555888,18,9034,4923
2555889,19,9034,4924
2555890,17,9279,4922
2555891,16,9279,4923
2555892,14,9279,4924
2555893,15,9123,4922
2555894,13,9123,4923
2555895,11,9123,4924
2555896,15,9309,4922
2555897,15,9309,4923
2555898,15,9309,4924
2555899,15,9272,4922
2555900,17,9272,4923
2555901,16,9272,4924
2555902,18,9018,4922
2555903,17,9018,4923
2555904,17,9018,4924
2555905,18,9246,4922
2555906,18,9246,4923
2555907,16,9246,4924
2555908,18,9287,4922
2555909,19,9287,4923
2555910,18,9287,4924
2555911,17,8961,4922
2555912,15,8961,4923
2555913,16,8961,4924
2555914,15,9300,4922
2555915,15,9300,4923
2555916,14,9300,4924
2555917,17,8968,4922
2555918,16,8968,4923
2555919,16,8968,4924
2555920,15,9107,4922
2555921,16,9107,4923
2555922,15,9107,4924
2555923,15,9307,4922
2555924,16,9307,4923
2555925,16,9307,4924
2555926,16,8983,4922
2555927,15,8983,4923
2555928,14,8983,4924
2555929,17,9146,4922
2555930,17,9146,4923
2555931,16,9146,4924
2555932,19,9317,4922
2555933,19,9317,4923
2555934,19,9317,4924
2555935,19,9127,4922
2555936,17,9127,4923
2555937,17,9127,4924
2555938,15,9257,4922
2555939,13,9257,4923
2555940,12,9257,4924
2555941,17,9085,4922
2555942,17,9085,4923
2555943,16,9085,4924
2555944,19,9230,4922
2555945,18,9230,4923
2555946,19,9230,4924
2555947,19,9056,4922
2555948,19,9056,4923
2555949,18,9056,4924
2555950,16,9176,4922
2555951,14,9176,4923
2555952,15,9176,4924
2555953,17,9240,4922
2555954,15,9240,4923
2555955,14,9240,4924
2555956,16,9190,4922
2555957,16,9190,4923
2555958,14,9190,4924
2555959,17,9204,4922
2555960,16,9204,4923
2555961,15,9204,4924
2555962,17,9002,4922
2555963,16,9002,4923
2555964,16,9002,4924
2555965,16,9278,4922
2555966,14,9278,4923
2555967,14,9278,4924
2555968,16,9202,4922
2555969,17,9202,4923
2555970,14,9202,4924
2555971,17,9032,4922
2555972,16,9032,4923
2555973,16,9032,4924
2555974,15,9047,4922
2555975,16,9047,4923
2555976,16,9047,4924
2555977,17,9286,4922
2555978,18,9286,4923
2555979,16,9286,4924
2555980,17,9082,4922
2555981,18,9082,4923
2555982,17,9082,4924
2555983,16,9221,4922
2555984,16,9221,4923
2555985,16,9221,4924
2555986,12,8995,4922
2555987,11,8995,4923
2555988,10,8995,4924
2555989,18,9265,4922
2555990,17,9265,4923
2555991,18,9265,4924
2555992,17,9025,4922
2555993,16,9025,4923
2555994,16,9025,4924
2555995,18,9324,4922
2555996,16,9324,4923
2555997,17,9324,4924
2555998,18,9227,4922
2555999,17,9227,4923
2556000,17,9227,4924
2556001,13,9259,4922
2556002,13,9259,4923
2556003,13,9259,4924
2556004,18,9301,4922
2556005,19,9301,4923
2556006,16,9301,4924
2556007,18,8945,4922
2556008,20,8945,4923
2556009,18,8945,4924
2556010,17,9197,4922
2556011,17,9197,4923
2556012,16,9197,4924
2556013,19,9232,4922
2556014,18,9232,4923
