id,tipo,peso,curso_id,periodo_id
5046,Examen Parcial,0.35,134,192
5047,Examen Bimestral,0.4,134,192
5048,Tarea / Practica Calificada,0.25,135,192
5049,Examen Parcial,0.35,135,192
5050,Examen Bimestral,0.4,135,192
5051,Tarea / Practica Calificada,0.25,136,192
5052,Examen Parcial,0.35,136,192
5053,Examen Bimestral,0.4,136,192
5054,Tarea / Practica Calificada,0.25,137,192
5055,Examen Parcial,0.35,137,192
5056,Examen Bimestral,0.4,137,192
5057,Tarea / Practica Calificada,0.25,138,192
5058,Examen Parcial,0.35,138,192
5059,Examen Bimestral,0.4,138,192
5060,Tarea / Practica Calificada,0.25,139,192
5061,Examen Parcial,0.35,139,192
5062,Examen Bimestral,0.4,139,192
5063,Tarea / Practica Calificada,0.25,132,193
5064,Examen Parcial,0.35,132,193
5065,Examen Bimestral,0.4,132,193
5066,Tarea / Practica Calificada,0.25,133,193
5067,Examen Parcial,0.35,133,193
5068,Examen Bimestral,0.4,133,193
5069,Tarea / Practica Calificada,0.25,134,193
5070,Examen Parcial,0.35,134,193
5071,Examen Bimestral,0.4,134,193
5072,Tarea / Practica Calificada,0.25,135,193
5073,Examen Parcial,0.35,135,193
5074,Examen Bimestral,0.4,135,193
5075,Tarea / Practica Calificada,0.25,136,193
5076,Examen Parcial,0.35,136,193
5077,Examen Bimestral,0.4,136,193
5078,Tarea / Practica Calificada,0.25,137,193
5079,Examen Parcial,0.35,137,193
5080,Examen Bimestral,0.4,137,193
5081,Tarea / Practica Calificada,0.25,138,193
5082,Examen Parcial,0.35,138,193
5083,Examen Bimestral,0.4,138,193
5084,Tarea / Practica Calificada,0.25,139,193
5085,Examen Parcial,0.35,139,193
5086,Examen Bimestral,0.4,139,193
5087,Tarea / Practica Calificada,0.25,132,194
5088,Examen Parcial,0.35,132,194
5089,Examen Bimestral,0.4,132,194
5090,Tarea / Practica Calificada,0.25,133,194
5091,Examen Parcial,0.35,133,194
5092,Examen Bimestral,0.4,133,194
5093,Tarea / Practica Calificada,0.25,134,194
5094,Examen Parcial,0.35,134,194
5095,Examen Bimestral,0.4,134,194
5096,Tarea / Practica Calificada,0.25,135,194
5097,Examen Parcial,0.35,135,194
5098,Examen Bimestral,0.4,135,194
5099,Tarea / Practica Calificada,0.25,136,194
5100,Examen Parcial,0.35,136,194
5101,Examen Bimestral,0.4,136,194
5102,Tarea / Practica Calificada,0.25,137,194
5103,Examen Parcial,0.35,137,194
5104,Examen Bimestral,0.4,137,194
5105,Tarea / Practica Calificada,0.25,138,194
5106,Examen Parcial,0.35,138,194
5107,Examen Bimestral,0.4,138,194
5108,Tarea / Practica Calificada,0.25,139,194
5109,Examen Parcial,0.35,139,194
5110,Examen Bimestral,0.4,139,194
5111,Tarea / Practica Calificada,0.25,132,195
5112,Examen Parcial,0.35,132,195
5113,Examen Bimestral,0.4,132,195
5114,Tarea / Practica Calificada,0.25,133,195
5115,Examen Parcial,0.35,133,195
5116,Examen Bimestral,0.4,133,195
5117,Tarea / Practica Calificada,0.25,134,195
5118,Examen Parcial,0.35,134,195
5119,Examen Bimestral,0.4,134,195
5120,Tarea / Practica Calificada,0.25,135,195
5121,Examen Parcial,0.35,135,195
5122,Examen Bimestral,0.4,135,195
5123,Tarea / Practica Calificada,0.25,136,195
5124,Examen Parcial,0.35,136,195
5125,Examen Bimestral,0.4,136,195
5126,Tarea / Practica Calificada,0.25,137,195
5127,Examen Parcial,0.35,137,195
5128,Examen Bimestral,0.4,137,195
5129,Tarea / Practica Calificada,0.25,138,195
5130,Examen Parcial,0.35,138,195
5131,Examen Bimestral,0.4,138,195
5132,Tarea / Practica Calificada,0.25,139,195
5133,Examen Parcial,0.35,139,195
5134,Examen Bimestral,0.4,139,195
5135,Tarea / Practica Calificada,0.25,132,196
5136,Examen Parcial,0.35,132,196
5137,Examen Bimestral,0.4,132,196
5138,Tarea / Practica Calificada,0.25,133,196
5139,Examen Parcial,0.35,133,196
5140,Examen Bimestral,0.4,133,196
5141,Tarea / Practica Calificada,0.25,134,196
5142,Examen Parcial,0.35,134,196
5143,Examen Bimestral,0.4,134,196
5144,Tarea / Practica Calificada,0.25,135,196
5145,Examen Parcial,0.35,135,196
5146,Examen Bimestral,0.4,135,196
5147,Tarea / Practica Calificada,0.25,136,196
5148,Examen Parcial,0.35,136,196
5149,Examen Bimestral,0.4,136,196
5150,Tarea / Practica Calificada,0.25,137,196
5151,Examen Parcial,0.35,137,196
5152,Examen Bimestral,0.4,137,196
5153,Tarea / Practica Calificada,0.25,138,196
5154,Examen Parcial,0.35,138,196
5155,Examen Bimestral,0.4,138,196
5156,Tarea / Practica Calificada,0.25,139,196
5157,Examen Parcial,0.35,139,196
5158,Examen Bimestral,0.4,139,196
5159,Tarea / Practica Calificada,0.25,132,197
5160,Examen Parcial,0.35,132,197
5161,Examen Bimestral,0.4,132,197
5162,Tarea / Practica Calificada,0.25,133,197
5163,Examen Parcial,0.35,133,197
5164,Examen Bimestral,0.4,133,197
5165,Tarea / Practica Calificada,0.25,134,197
5166,Examen Parcial,0.35,134,197
5167,Examen Bimestral,0.4,134,197
5168,Tarea / Practica Calificada,0.25,135,197
5169,Examen Parcial,0.35,135,197
5170,Examen Bimestral,0.4,135,197
5171,Tarea / Practica Calificada,0.25,136,197
5172,Examen Parcial,0.35,136,197
5173,Examen Bimestral,0.4,136,197
5174,Tarea / Practica Calificada,0.25,137,197
5175,Examen Parcial,0.35,137,197
5176,Examen Bimestral,0.4,137,197
5177,Tarea / Practica Calificada,0.25,138,197
5178,Examen Parcial,0.35,138,197
5179,Examen Bimestral,0.4,138,197
5180,Tarea / Practica Calificada,0.25,139,197
5181,Examen Parcial,0.35,139,197
5182,Examen Bimestral,0.4,139,197
5183,Tarea / Practica Calificada,0.25,132,198
5184,Examen Parcial,0.35,132,198
5185,Examen Bimestral,0.4,132,198
5186,Tarea / Practica Calificada,0.25,133,198
5187,Examen Parcial,0.35,133,198
5188,Examen Bimestral,0.4,133,198
5189,Tarea / Practica Calificada,0.25,134,198
5190,Examen Parcial,0.35,134,198
5191,Examen Bimestral,0.4,134,198
5192,Tarea / Practica Calificada,0.25,135,198
5193,Examen Parcial,0.35,135,198
5194,Examen Bimestral,0.4,135,198
5195,Tarea / Practica Calificada,0.25,136,198
5196,Examen Parcial,0.35,136,198
5197,Examen Bimestral,0.4,136,198
5198,Tarea / Practica Calificada,0.25,137,198
5199,Examen Parcial,0.35,137,198
5200,Examen Bimestral,0.4,137,198
5201,Tarea / Practica Calificada,0.25,138,198
5202,Examen Parcial,0.35,138,198
5203,Examen Bimestral,0.4,138,198
5204,Tarea / Practica Calificada,0.25,139,198
5205,Examen Parcial,0.35,139,198
5206,Examen Bimestral,0.4,139,198
