id,fecha,motivo,asistencia,apoderado_id,estudiante_id
472,2026-07-13 20:30:00,Reunión para coordinar apoyo en el curso de Comunicacion debido a bajo rendimiento (Nota: 10.50).,Asistio,8293,9281
473,2026-07-13 20:30:00,Reunión para coordinar apoyo en el curso de Comunicacion debido a bajo rendimiento (Nota: 10.40).,Asistio,8148,9097
474,2026-07-20 20:30:00,Reunión para coordinar apoyo en el curso de Ciencia y Tecnologia debido a bajo rendimiento (Nota: 10.85).,Falto,8100,9030
475,2026-07-17 20:30:00,Reunión para coordinar apoyo en el curso de Ciencia y Tecnologia debido a bajo rendimiento (Nota: 10.95).,Asistio,8331,9337
476,2026-07-18 20:30:00,Reunión para coordinar apoyo en el curso de Ciencia y Tecnologia debido a bajo rendimiento (Nota: 10.95).,Asistio,8119,9059
477,2026-07-21 20:30:00,Reunión para coordinar apoyo en el curso de Ciencia y Tecnologia debido a bajo rendimiento (Nota: 10.95).,Pendiente,8153,9102
478,2026-07-17 20:30:00,Reunión para coordinar apoyo en el curso de Ciencia y Tecnologia debido a bajo rendimiento (Nota: 10.75).,Asistio,8163,9116
479,2026-07-22 20:30:00,Reunión para coordinar apoyo en el curso de Ciencia y Tecnologia debido a bajo rendimiento (Nota: 10.50).,Pendiente,8041,8954
480,2026-07-17 20:30:00,Reunión para coordinar apoyo en el curso de Ciencia y Tecnologia debido a bajo rendimiento (Nota: 10.60).,Falto,8037,8949
481,2026-07-13 20:30:00,Reunión para coordinar apoyo en el curso de Ciencia y Tecnologia debido a bajo rendimiento (Nota: 10.85).,Asistio,8156,9106
482,2026-07-14 20:30:00,Reunión para coordinar apoyo en el curso de Ciencia y Tecnologia debido a bajo rendimiento (Nota: 10.90).,Pendiente,8181,9140
483,2026-07-21 20:30:00,Reunión para coordinar apoyo en el curso de Ciencia y Tecnologia debido a bajo rendimiento (Nota: 10.95).,Asistio,8133,9078
