id,motivo,documento,estado,asistencia_id
6703,Problemas de salud del alumno (fiebre y malestar general).,certificado_66801907_20240404.pdf,Rechazado,477522
6704,Problemas familiares de fuerza mayor.,certificado_64768161_20240404.pdf,Pendiente,477593
6705,Cita médica odontológica programada con anterioridad.,certificado_63419443_20240404.pdf,Aprobado,477618
6706,Problemas de salud del alumno (fiebre y malestar general).,certificado_68823126_20240404.pdf,Pendiente,477621
6707,Viaje urgente programado fuera de la ciudad.,certificado_62610757_20240404.pdf,Aprobado,477632
6708,Viaje urgente programado fuera de la ciudad.,certificado_66093610_20240404.pdf,Rechazado,477652
6709,Cita médica odontológica programada con anterioridad.,certificado_78332672_20240404.pdf,Aprobado,477654
6710,Suspensión de transporte público de su zona.,certificado_71973605_20240405.pdf,Pendiente,477765
6711,Problemas de salud del alumno (fiebre y malestar general).,certificado_66109649_20240405.pdf,Rechazado,477811
6712,Problemas de salud del alumno (fiebre y malestar general).,certificado_73957073_20240408.pdf,Aprobado,478003
6713,Suspensión de transporte público de su zona.,certificado_63861620_20240408.pdf,Rechazado,478063
6714,Suspensión de transporte público de su zona.,certificado_68120882_20240408.pdf,Pendiente,478066
6715,Cita médica odontológica programada con anterioridad.,certificado_66735272_20240408.pdf,Rechazado,478116
6716,Cita médica odontológica programada con anterioridad.,certificado_70947186_20240408.pdf,Aprobado,478131
6717,Suspensión de transporte público de su zona.,certificado_61645219_20240408.pdf,Aprobado,478133
6718,Problemas de salud del alumno (fiebre y malestar general).,certificado_70197504_20240408.pdf,Aprobado,478134
6719,Problemas familiares de fuerza mayor.,certificado_73039212_20240408.pdf,Pendiente,478146
6720,Problemas familiares de fuerza mayor.,certificado_62826917_20240408.pdf,Pendiente,478179
6721,Cita médica odontológica programada con anterioridad.,certificado_70220611_20240408.pdf,Pendiente,478216
6722,Viaje urgente programado fuera de la ciudad.,certificado_69546027_20240408.pdf,Aprobado,478236
6723,Problemas de salud del alumno (fiebre y malestar general).,certificado_63565618_20240408.pdf,Aprobado,478311
6724,Suspensión de transporte público de su zona.,certificado_73479483_20240408.pdf,Pendiente,478317
6725,Problemas de salud del alumno (fiebre y malestar general).,certificado_72076827_20240409.pdf,Pendiente,478459
6726,Viaje urgente programado fuera de la ciudad.,certificado_78802227_20240409.pdf,Rechazado,478597
6727,Cita médica odontológica programada con anterioridad.,certificado_74559591_20240409.pdf,Aprobado,478616
6728,Cita médica odontológica programada con anterioridad.,certificado_73957073_20240410.pdf,Aprobado,478683
6729,Problemas de salud del alumno (fiebre y malestar general).,certificado_64435062_20240410.pdf,Aprobado,478735
6730,Suspensión de transporte público de su zona.,certificado_73002035_20240410.pdf,Rechazado,478755
6731,Problemas familiares de fuerza mayor.,certificado_72745307_20240410.pdf,Aprobado,478778
6732,Problemas familiares de fuerza mayor.,certificado_77096740_20240410.pdf,Rechazado,478788
6733,Problemas de salud del alumno (fiebre y malestar general).,certificado_64006430_20240410.pdf,Pendiente,478860
6734,Suspensión de transporte público de su zona.,certificado_73069513_20240410.pdf,Rechazado,478861
6735,Viaje urgente programado fuera de la ciudad.,certificado_61970720_20240410.pdf,Rechazado,478904
6736,Viaje urgente programado fuera de la ciudad.,certificado_62892821_20240410.pdf,Pendiente,478921
6737,Suspensión de transporte público de su zona.,certificado_63625039_20240410.pdf,Pendiente,478931
6738,Problemas familiares de fuerza mayor.,certificado_75827101_20240410.pdf,Pendiente,478957
6739,Suspensión de transporte público de su zona.,certificado_66527182_20240411.pdf,Aprobado,479054
6740,Viaje urgente programado fuera de la ciudad.,certificado_62953456_20240411.pdf,Aprobado,479089
6741,Suspensión de transporte público de su zona.,certificado_74194826_20240411.pdf,Rechazado,479100
6742,Viaje urgente programado fuera de la ciudad.,certificado_74865021_20240411.pdf,Rechazado,479141
6743,Problemas de salud del alumno (fiebre y malestar general).,certificado_65265608_20240411.pdf,Aprobado,479148
6744,Problemas familiares de fuerza mayor.,certificado_76439418_20240412.pdf,Rechazado,479365
6745,Viaje urgente programado fuera de la ciudad.,certificado_72076827_20240412.pdf,Rechazado,479479
6746,Cita médica odontológica programada con anterioridad.,certificado_75716718_20240412.pdf,Aprobado,479505
6747,Problemas familiares de fuerza mayor.,certificado_74552940_20240412.pdf,Rechazado,479598
6748,Problemas familiares de fuerza mayor.,certificado_64974651_20240412.pdf,Aprobado,479623
6749,Problemas familiares de fuerza mayor.,certificado_73047163_20240412.pdf,Aprobado,479629
6750,Problemas familiares de fuerza mayor.,certificado_65506837_20240412.pdf,Rechazado,479632
6751,Cita médica odontológica programada con anterioridad.,certificado_76685857_20240415.pdf,Aprobado,479742
6752,Cita médica odontológica programada con anterioridad.,certificado_75298348_20240415.pdf,Aprobado,479747
6753,Suspensión de transporte público de su zona.,certificado_72094204_20240415.pdf,Aprobado,479948
6754,Problemas familiares de fuerza mayor.,certificado_68823126_20240415.pdf,Pendiente,480001
6755,Problemas de salud del alumno (fiebre y malestar general).,certificado_62943446_20250317.pdf,Rechazado,480048
6756,Problemas de salud del alumno (fiebre y malestar general).,certificado_66063152_20250317.pdf,Rechazado,480069
6757,Problemas de salud del alumno (fiebre y malestar general).,certificado_67107089_20250317.pdf,Aprobado,480075
6758,Suspensión de transporte público de su zona.,certificado_66170196_20250317.pdf,Aprobado,480216
6759,Problemas familiares de fuerza mayor.,certificado_71512406_20250317.pdf,Rechazado,480227
6760,Cita médica odontológica programada con anterioridad.,certificado_68328840_20250317.pdf,Pendiente,480269
6761,Suspensión de transporte público de su zona.,certificado_76977124_20250317.pdf,Pendiente,480271
6762,Suspensión de transporte público de su zona.,certificado_78625050_20250317.pdf,Aprobado,480272
6763,Cita médica odontológica programada con anterioridad.,certificado_71498139_20250317.pdf,Rechazado,480299
6764,Problemas familiares de fuerza mayor.,certificado_61630307_20250318.pdf,Aprobado,480558
6765,Viaje urgente programado fuera de la ciudad.,certificado_66077910_20250318.pdf,Pendiente,480605
6766,Problemas de salud del alumno (fiebre y malestar general).,certificado_63254340_20250318.pdf,Aprobado,480692
6767,Cita médica odontológica programada con anterioridad.,certificado_62953456_20250318.pdf,Aprobado,480696
6768,Viaje urgente programado fuera de la ciudad.,certificado_73479483_20250318.pdf,Aprobado,480706
6769,Problemas de salud del alumno (fiebre y malestar general).,certificado_72700973_20250319.pdf,Aprobado,480804
6770,Problemas de salud del alumno (fiebre y malestar general).,certificado_64241673_20250319.pdf,Aprobado,480834
6771,Viaje urgente programado fuera de la ciudad.,certificado_61630307_20250319.pdf,Rechazado,480913
6772,Problemas de salud del alumno (fiebre y malestar general).,certificado_67655054_20250319.pdf,Pendiente,480969
6773,Problemas de salud del alumno (fiebre y malestar general).,certificado_77168677_20250319.pdf,Pendiente,481019
6774,Suspensión de transporte público de su zona.,certificado_64793353_20250319.pdf,Pendiente,481024
6775,Suspensión de transporte público de su zona.,certificado_71499866_20250319.pdf,Aprobado,481038
6776,Problemas de salud del alumno (fiebre y malestar general).,certificado_65265608_20250319.pdf,Rechazado,481087
6777,Suspensión de transporte público de su zona.,certificado_69472646_20250319.pdf,Rechazado,481096
6778,Problemas de salud del alumno (fiebre y malestar general).,certificado_65596165_20250320.pdf,Rechazado,481133
6779,Viaje urgente programado fuera de la ciudad.,certificado_60561236_20250320.pdf,Pendiente,481313
6780,Suspensión de transporte público de su zona.,certificado_65200666_20250320.pdf,Pendiente,481446
6781,Cita médica odontológica programada con anterioridad.,certificado_79223285_20250321.pdf,Rechazado,481533
6782,Problemas de salud del alumno (fiebre y malestar general).,certificado_72588694_20250321.pdf,Pendiente,481552
6783,Problemas de salud del alumno (fiebre y malestar general).,certificado_72750683_20250321.pdf,Rechazado,481630
6784,Suspensión de transporte público de su zona.,certificado_71973605_20250321.pdf,Pendiente,481644
6785,Viaje urgente programado fuera de la ciudad.,certificado_78911435_20250321.pdf,Pendiente,481809
6786,Problemas de salud del alumno (fiebre y malestar general).,certificado_76128405_20250324.pdf,Aprobado,481875
6787,Problemas familiares de fuerza mayor.,certificado_64435062_20250324.pdf,Rechazado,481893
6788,Viaje urgente programado fuera de la ciudad.,certificado_69333404_20250324.pdf,Pendiente,481902
6789,Problemas familiares de fuerza mayor.,certificado_77553870_20250324.pdf,Aprobado,482018
6790,Viaje urgente programado fuera de la ciudad.,certificado_72627498_20250324.pdf,Rechazado,482127
6791,Cita médica odontológica programada con anterioridad.,certificado_72557067_20250325.pdf,Aprobado,482299
6792,Viaje urgente programado fuera de la ciudad.,certificado_62389603_20250325.pdf,Pendiente,482307
6793,Problemas familiares de fuerza mayor.,certificado_78443617_20250325.pdf,Aprobado,482315
6794,Problemas familiares de fuerza mayor.,certificado_76461656_20250325.pdf,Pendiente,482461
6795,Suspensión de transporte público de su zona.,certificado_78802227_20250326.pdf,Aprobado,482870
6796,Cita médica odontológica programada con anterioridad.,certificado_78911435_20250326.pdf,Pendiente,482874
6797,Viaje urgente programado fuera de la ciudad.,certificado_79765173_20250327.pdf,Pendiente,483081
6798,Problemas de salud del alumno (fiebre y malestar general).,certificado_78985518_20250327.pdf,Rechazado,483134
6799,Problemas familiares de fuerza mayor.,certificado_75363251_20250327.pdf,Rechazado,483166
6800,Problemas familiares de fuerza mayor.,certificado_68684579_20250327.pdf,Pendiente,483201
6801,Problemas de salud del alumno (fiebre y malestar general).,certificado_64520588_20250327.pdf,Pendiente,483205
6802,Viaje urgente programado fuera de la ciudad.,certificado_67152970_20250328.pdf,Rechazado,483262
6803,Viaje urgente programado fuera de la ciudad.,certificado_70665578_20250328.pdf,Rechazado,483330
6804,Viaje urgente programado fuera de la ciudad.,certificado_61165294_20250328.pdf,Pendiente,483359
6805,Problemas familiares de fuerza mayor.,certificado_71472691_20250328.pdf,Aprobado,483408
6806,Viaje urgente programado fuera de la ciudad.,certificado_68899052_20250328.pdf,Aprobado,483424
6807,Cita médica odontológica programada con anterioridad.,certificado_79335152_20250328.pdf,Pendiente,483475
6808,Viaje urgente programado fuera de la ciudad.,certificado_77168677_20250328.pdf,Pendiente,483504
6809,Viaje urgente programado fuera de la ciudad.,certificado_70472652_20250328.pdf,Rechazado,483530
6810,Cita médica odontológica programada con anterioridad.,certificado_61163093_20250328.pdf,Rechazado,483561
6811,Problemas de salud del alumno (fiebre y malestar general).,certificado_65200666_20250328.pdf,Aprobado,483576
6812,Problemas familiares de fuerza mayor.,certificado_65812795_20250331.pdf,Aprobado,483621
6813,Viaje urgente programado fuera de la ciudad.,certificado_64768161_20250331.pdf,Aprobado,483690
6814,Suspensión de transporte público de su zona.,certificado_61630307_20250331.pdf,Rechazado,483753
6815,Suspensión de transporte público de su zona.,certificado_66173771_20250331.pdf,Aprobado,483795
6816,Problemas de salud del alumno (fiebre y malestar general).,certificado_74194826_20250401.pdf,Pendiente,483969
6817,Cita médica odontológica programada con anterioridad.,certificado_63085180_20250401.pdf,Rechazado,483984
6818,Suspensión de transporte público de su zona.,certificado_78524707_20250401.pdf,Rechazado,483991
6819,Problemas de salud del alumno (fiebre y malestar general).,certificado_75547331_20250401.pdf,Aprobado,484027
6820,Viaje urgente programado fuera de la ciudad.,certificado_67071676_20250401.pdf,Rechazado,484048
6821,Viaje urgente programado fuera de la ciudad.,certificado_69515804_20250401.pdf,Pendiente,484197
6822,Suspensión de transporte público de su zona.,certificado_66279749_20250401.pdf,Rechazado,484273
6823,Problemas de salud del alumno (fiebre y malestar general).,certificado_77914805_20250402.pdf,Rechazado,484355
6824,Cita médica odontológica programada con anterioridad.,certificado_63627386_20250402.pdf,Rechazado,484361
6825,Problemas familiares de fuerza mayor.,certificado_66391775_20250402.pdf,Aprobado,484456
6826,Viaje urgente programado fuera de la ciudad.,certificado_74633895_20250402.pdf,Aprobado,484509
6827,Problemas de salud del alumno (fiebre y malestar general).,certificado_76977124_20250402.pdf,Aprobado,484531
6828,Suspensión de transporte público de su zona.,certificado_69401745_20250402.pdf,Pendiente,484589
6829,Cita médica odontológica programada con anterioridad.,certificado_63431728_20250402.pdf,Rechazado,484592
6830,Problemas de salud del alumno (fiebre y malestar general).,certificado_68225093_20250402.pdf,Rechazado,484634
6831,Problemas de salud del alumno (fiebre y malestar general).,certificado_72861964_20250403.pdf,Rechazado,484656
6832,Suspensión de transporte público de su zona.,certificado_76496003_20250403.pdf,Pendiente,484693
6833,Suspensión de transporte público de su zona.,certificado_70799284_20250403.pdf,Pendiente,484698
6834,Problemas familiares de fuerza mayor.,certificado_66801907_20250403.pdf,Rechazado,484722
6835,Viaje urgente programado fuera de la ciudad.,certificado_68455673_20250403.pdf,Rechazado,484770
6836,Problemas de salud del alumno (fiebre y malestar general).,certificado_75743670_20250403.pdf,Aprobado,484804
6837,Viaje urgente programado fuera de la ciudad.,certificado_67333862_20250403.pdf,Aprobado,484838
6838,Viaje urgente programado fuera de la ciudad.,certificado_77318337_20250403.pdf,Rechazado,484862
6839,Problemas familiares de fuerza mayor.,certificado_68305783_20250403.pdf,Rechazado,484894
6840,Problemas familiares de fuerza mayor.,certificado_68225093_20250403.pdf,Rechazado,484989
6841,Problemas familiares de fuerza mayor.,certificado_73448787_20250404.pdf,Aprobado,485012
6842,Problemas de salud del alumno (fiebre y malestar general).,certificado_76411365_20250404.pdf,Pendiente,485062
6843,Suspensión de transporte público de su zona.,certificado_72498756_20250404.pdf,Pendiente,485130
6844,Problemas de salud del alumno (fiebre y malestar general).,certificado_64974651_20250404.pdf,Pendiente,485145
6845,Problemas de salud del alumno (fiebre y malestar general).,certificado_66109649_20250404.pdf,Pendiente,485185
6846,Problemas familiares de fuerza mayor.,certificado_66173771_20250404.pdf,Aprobado,485215
6847,Viaje urgente programado fuera de la ciudad.,certificado_75810523_20250404.pdf,Pendiente,485248
6848,Cita médica odontológica programada con anterioridad.,certificado_70197504_20250404.pdf,Aprobado,485354
6849,Viaje urgente programado fuera de la ciudad.,certificado_68823126_20250407.pdf,Pendiente,485382
6850,Problemas de salud del alumno (fiebre y malestar general).,certificado_72700973_20250407.pdf,Aprobado,485419
6851,Problemas familiares de fuerza mayor.,certificado_72588694_20250407.pdf,Rechazado,485457
6852,Suspensión de transporte público de su zona.,certificado_60503794_20250408.pdf,Pendiente,485773
6853,Problemas de salud del alumno (fiebre y malestar general).,certificado_76977124_20250408.pdf,Rechazado,485951
6854,Viaje urgente programado fuera de la ciudad.,certificado_63060136_20250408.pdf,Aprobado,485999
6855,Cita médica odontológica programada con anterioridad.,certificado_66459643_20250409.pdf,Pendiente,486079
6856,Suspensión de transporte público de su zona.,certificado_68870352_20250409.pdf,Rechazado,486172
6857,Viaje urgente programado fuera de la ciudad.,certificado_67394803_20250409.pdf,Pendiente,486254
6858,Problemas familiares de fuerza mayor.,certificado_79765173_20250409.pdf,Pendiente,486276
6859,Suspensión de transporte público de su zona.,certificado_65200666_20250409.pdf,Pendiente,486416
6860,Problemas de salud del alumno (fiebre y malestar general).,certificado_76183036_20250410.pdf,Rechazado,486440
6861,Cita médica odontológica programada con anterioridad.,certificado_62550749_20250410.pdf,Rechazado,486451
6862,Viaje urgente programado fuera de la ciudad.,certificado_70370100_20250410.pdf,Rechazado,486467
6863,Suspensión de transporte público de su zona.,certificado_71512406_20250410.pdf,Pendiente,486617
6864,Viaje urgente programado fuera de la ciudad.,certificado_61034119_20250410.pdf,Rechazado,486667
6865,Cita médica odontológica programada con anterioridad.,certificado_62953456_20250410.pdf,Aprobado,486731
6866,Cita médica odontológica programada con anterioridad.,certificado_68225093_20250410.pdf,Rechazado,486764
6867,Problemas de salud del alumno (fiebre y malestar general).,certificado_69333404_20250411.pdf,Aprobado,486872
6868,Viaje urgente programado fuera de la ciudad.,certificado_70825667_20250411.pdf,Rechazado,486902
6869,Problemas de salud del alumno (fiebre y malestar general).,certificado_62862412_20250411.pdf,Rechazado,487069
6870,Cita médica odontológica programada con anterioridad.,certificado_71808243_20250414.pdf,Pendiente,487153
6871,Problemas familiares de fuerza mayor.,certificado_65812795_20250414.pdf,Pendiente,487171
6872,Suspensión de transporte público de su zona.,certificado_77135451_20250414.pdf,Rechazado,487404
6873,Suspensión de transporte público de su zona.,certificado_65200666_20250414.pdf,Aprobado,487481
6874,Problemas de salud del alumno (fiebre y malestar general).,certificado_71124968_20250415.pdf,Rechazado,487553
6875,Cita médica odontológica programada con anterioridad.,certificado_74011595_20250415.pdf,Aprobado,487571
6876,Problemas de salud del alumno (fiebre y malestar general).,certificado_63625039_20250415.pdf,Aprobado,487609
6877,Suspensión de transporte público de su zona.,certificado_69723504_20260302.pdf,Pendiente,487855
6878,Suspensión de transporte público de su zona.,certificado_73182955_20260302.pdf,Aprobado,487877
6879,Cita médica odontológica programada con anterioridad.,certificado_71512406_20260302.pdf,Rechazado,487924
6880,Cita médica odontológica programada con anterioridad.,certificado_64475216_20260302.pdf,Aprobado,488039
6881,Cita médica odontológica programada con anterioridad.,certificado_70874022_20260302.pdf,Aprobado,488104
6882,Cita médica odontológica programada con anterioridad.,certificado_69407757_20260302.pdf,Aprobado,488166
6883,Cita médica odontológica programada con anterioridad.,certificado_63627386_20260302.pdf,Rechazado,488179
6884,Problemas de salud del alumno (fiebre y malestar general).,certificado_63419443_20260302.pdf,Pendiente,488191
6885,Suspensión de transporte público de su zona.,certificado_64972758_20260303.pdf,Rechazado,488274
6886,Problemas de salud del alumno (fiebre y malestar general).,certificado_64475216_20260303.pdf,Pendiente,488404
6887,Suspensión de transporte público de su zona.,certificado_74330258_20260304.pdf,Rechazado,488594
6888,Problemas familiares de fuerza mayor.,certificado_72049802_20260304.pdf,Rechazado,488700
6889,Viaje urgente programado fuera de la ciudad.,certificado_60617016_20260304.pdf,Pendiente,488724
6890,Viaje urgente programado fuera de la ciudad.,certificado_62403973_20260304.pdf,Aprobado,488768
6891,Suspensión de transporte público de su zona.,certificado_64475216_20260304.pdf,Aprobado,488769
6892,Viaje urgente programado fuera de la ciudad.,certificado_78095488_20260304.pdf,Pendiente,488773
6893,Suspensión de transporte público de su zona.,certificado_72076827_20260304.pdf,Pendiente,488804
6894,Problemas de salud del alumno (fiebre y malestar general).,certificado_66941315_20260304.pdf,Rechazado,488833
6895,Problemas de salud del alumno (fiebre y malestar general).,certificado_70874022_20260304.pdf,Rechazado,488834
6896,Viaje urgente programado fuera de la ciudad.,certificado_74572837_20260304.pdf,Aprobado,488898
6897,Viaje urgente programado fuera de la ciudad.,certificado_63625039_20260304.pdf,Pendiente,488934
6898,Suspensión de transporte público de su zona.,certificado_73182955_20260305.pdf,Pendiente,488972
6899,Cita médica odontológica programada con anterioridad.,certificado_64974651_20260305.pdf,Rechazado,489070
6900,Viaje urgente programado fuera de la ciudad.,certificado_70197504_20260305.pdf,Pendiente,489186
6901,Problemas de salud del alumno (fiebre y malestar general).,certificado_76588250_20260305.pdf,Rechazado,489294
6902,Suspensión de transporte público de su zona.,certificado_73479483_20260305.pdf,Rechazado,489301
6903,Problemas de salud del alumno (fiebre y malestar general).,certificado_64604063_20260306.pdf,Aprobado,489318
6904,Viaje urgente programado fuera de la ciudad.,certificado_70665578_20260306.pdf,Aprobado,489368
6905,Cita médica odontológica programada con anterioridad.,certificado_72861964_20260306.pdf,Rechazado,489469
6906,Suspensión de transporte público de su zona.,certificado_70566447_20260306.pdf,Pendiente,489491
6907,Suspensión de transporte público de su zona.,certificado_62069274_20260306.pdf,Rechazado,489553
6908,Suspensión de transporte público de su zona.,certificado_61696487_20260306.pdf,Rechazado,489588
6909,Cita médica odontológica programada con anterioridad.,certificado_73479483_20260306.pdf,Aprobado,489666
6910,Cita médica odontológica programada con anterioridad.,certificado_71117158_20260309.pdf,Aprobado,489738
6911,Problemas de salud del alumno (fiebre y malestar general).,certificado_65828808_20260309.pdf,Rechazado,489934
6912,Cita médica odontológica programada con anterioridad.,certificado_69515804_20260309.pdf,Pendiente,489946
6913,Viaje urgente programado fuera de la ciudad.,certificado_66036080_20260309.pdf,Pendiente,489990
6914,Problemas familiares de fuerza mayor.,certificado_68836549_20260309.pdf,Aprobado,490018
6915,Viaje urgente programado fuera de la ciudad.,certificado_63972418_20260310.pdf,Rechazado,490308
6916,Problemas de salud del alumno (fiebre y malestar general).,certificado_71131006_20260310.pdf,Aprobado,490321
6917,Problemas familiares de fuerza mayor.,certificado_68679186_20260310.pdf,Rechazado,490359
6918,Cita médica odontológica programada con anterioridad.,certificado_62382767_20260310.pdf,Rechazado,490386
6919,Viaje urgente programado fuera de la ciudad.,certificado_70729012_20260311.pdf,Rechazado,490540
6920,Cita médica odontológica programada con anterioridad.,certificado_67526975_20260311.pdf,Rechazado,490705
