id,monto,fecha,concepto,comprobante,estudiante_id
116207,350,2024-05-28,Pensión Escolar - Mayo 2024,B001-2024058952,8952
116208,350,2024-06-28,Pensión Escolar - Junio 2024,B001-2024068952,8952
116209,350,2024-07-31,Pensión Escolar - Julio 2024,B001-2024078952,8952
116210,350,2024-09-02,Pensión Escolar - Agosto 2024,B001-2024088952,8952
116211,350,2024-09-20,Pensión Escolar - Setiembre 2024,B001-2024098952,8952
116212,350,2024-11-01,Pensión Escolar - Octubre 2024,B001-2024108952,8952
116213,350,2024-11-19,Pensión Escolar - Noviembre 2024,B001-2024118952,8952
116214,350,2024-12-25,Pensión Escolar - Diciembre 2024,B001-2024128952,8952
116215,350,2024-03-27,Pensión Escolar - Marzo 2024,B001-2024039280,9280
116216,350,2024-04-19,Pensión Escolar - Abril 2024,B001-2024049280,9280
116217,350,2024-05-31,Pensión Escolar - Mayo 2024,B001-2024059280,9280
116218,350,2024-06-21,Pensión Escolar - Junio 2024,B001-2024069280,9280
116219,350,2024-07-23,Pensión Escolar - Julio 2024,B001-2024079280,9280
116220,350,2024-08-22,Pensión Escolar - Agosto 2024,B001-2024089280,9280
116221,350,2024-09-27,Pensión Escolar - Setiembre 2024,B001-2024099280,9280
116222,350,2024-10-25,Pensión Escolar - Octubre 2024,B001-2024109280,9280
116223,350,2024-11-27,Pensión Escolar - Noviembre 2024,B001-2024119280,9280
116224,350,2024-12-20,Pensión Escolar - Diciembre 2024,B001-2024129280,9280
116225,350,2024-03-22,Pensión Escolar - Marzo 2024,B001-2024039034,9034
116226,350,2024-05-02,Pensión Escolar - Abril 2024,B001-2024049034,9034
116227,350,2024-05-31,Pensión Escolar - Mayo 2024,B001-2024059034,9034
116228,350,2024-06-26,Pensión Escolar - Junio 2024,B001-2024069034,9034
116229,350,2024-07-22,Pensión Escolar - Julio 2024,B001-2024079034,9034
116230,350,2024-08-29,Pensión Escolar - Agosto 2024,B001-2024089034,9034
116231,350,2024-09-30,Pensión Escolar - Setiembre 2024,B001-2024099034,9034
116232,350,2024-11-01,Pensión Escolar - Octubre 2024,B001-2024109034,9034
116233,350,2024-11-29,Pensión Escolar - Noviembre 2024,B001-2024119034,9034
116234,350,2024-12-30,Pensión Escolar - Diciembre 2024,B001-2024129034,9034
116235,350,2024-03-26,Pensión Escolar - Marzo 2024,B001-2024039279,9279
116236,350,2024-04-30,Pensión Escolar - Abril 2024,B001-2024049279,9279
116237,350,2024-05-27,Pensión Escolar - Mayo 2024,B001-2024059279,9279
116238,350,2024-06-26,Pensión Escolar - Junio 2024,B001-2024069279,9279
116239,350,2024-07-26,Pensión Escolar - Julio 2024,B001-2024079279,9279
116240,350,2024-09-02,Pensión Escolar - Agosto 2024,B001-2024089279,9279
116241,350,2024-10-01,Pensión Escolar - Setiembre 2024,B001-2024099279,9279
116242,350,2024-10-21,Pensión Escolar - Octubre 2024,B001-2024109279,9279
116243,350,2024-11-21,Pensión Escolar - Noviembre 2024,B001-2024119279,9279
116244,350,2024-12-18,Pensión Escolar - Diciembre 2024,B001-2024129279,9279
116245,350,2024-03-22,Pensión Escolar - Marzo 2024,B001-2024039123,9123
116246,350,2024-04-19,Pensión Escolar - Abril 2024,B001-2024049123,9123
116247,350,2024-05-17,Pensión Escolar - Mayo 2024,B001-2024059123,9123
116248,350,2024-06-21,Pensión Escolar - Junio 2024,B001-2024069123,9123
116249,350,2024-07-19,Pensión Escolar - Julio 2024,B001-2024079123,9123
116250,350,2024-08-29,Pensión Escolar - Agosto 2024,B001-2024089123,9123
116251,350,2024-09-27,Pensión Escolar - Setiembre 2024,B001-2024099123,9123
116252,350,2024-10-28,Pensión Escolar - Octubre 2024,B001-2024109123,9123
116253,350,2024-11-25,Pensión Escolar - Noviembre 2024,B001-2024119123,9123
116254,350,2024-12-26,Pensión Escolar - Diciembre 2024,B001-2024129123,9123
116255,350,2024-03-27,Pensión Escolar - Marzo 2024,B001-2024039309,9309
116256,350,2024-04-19,Pensión Escolar - Abril 2024,B001-2024049309,9309
116257,350,2024-05-24,Pensión Escolar - Mayo 2024,B001-2024059309,9309
116258,350,2024-06-25,Pensión Escolar - Junio 2024,B001-2024069309,9309
116259,350,2024-07-19,Pensión Escolar - Julio 2024,B001-2024079309,9309
116260,350,2024-08-26,Pensión Escolar - Agosto 2024,B001-2024089309,9309
116261,350,2024-10-18,Pensión Escolar - Octubre 2024,B001-2024109309,9309
116262,350,2024-11-25,Pensión Escolar - Noviembre 2024,B001-2024119309,9309
116263,350,2025-01-01,Pensión Escolar - Diciembre 2024,B001-2024129309,9309
116264,350,2024-03-28,Pensión Escolar - Marzo 2024,B001-2024039272,9272
116265,350,2024-05-01,Pensión Escolar - Abril 2024,B001-2024049272,9272
116266,350,2024-05-31,Pensión Escolar - Mayo 2024,B001-2024059272,9272
116267,350,2024-07-03,Pensión Escolar - Junio 2024,B001-2024069272,9272
116268,350,2024-07-19,Pensión Escolar - Julio 2024,B001-2024079272,9272
116269,350,2024-08-30,Pensión Escolar - Agosto 2024,B001-2024089272,9272
116270,350,2024-09-19,Pensión Escolar - Setiembre 2024,B001-2024099272,9272
116271,350,2024-10-28,Pensión Escolar - Octubre 2024,B001-2024109272,9272
116272,350,2024-12-02,Pensión Escolar - Noviembre 2024,B001-2024119272,9272
116273,350,2024-12-31,Pensión Escolar - Diciembre 2024,B001-2024129272,9272
116274,350,2024-03-28,Pensión Escolar - Marzo 2024,B001-2024039018,9018
116275,350,2024-04-24,Pensión Escolar - Abril 2024,B001-2024049018,9018
116276,350,2024-05-24,Pensión Escolar - Mayo 2024,B001-2024059018,9018
116277,350,2024-06-21,Pensión Escolar - Junio 2024,B001-2024069018,9018
116278,350,2024-08-01,Pensión Escolar - Julio 2024,B001-2024079018,9018
116279,350,2024-09-02,Pensión Escolar - Agosto 2024,B001-2024089018,9018
116280,350,2024-09-20,Pensión Escolar - Setiembre 2024,B001-2024099018,9018
116281,350,2024-10-21,Pensión Escolar - Octubre 2024,B001-2024109018,9018
116282,350,2024-11-21,Pensión Escolar - Noviembre 2024,B001-2024119018,9018
116283,350,2024-12-20,Pensión Escolar - Diciembre 2024,B001-2024129018,9018
116284,350,2024-03-18,Pensión Escolar - Marzo 2024,B001-2024039246,9246
116285,350,2024-04-30,Pensión Escolar - Abril 2024,B001-2024049246,9246
116286,350,2024-05-31,Pensión Escolar - Mayo 2024,B001-2024059246,9246
116287,350,2024-06-18,Pensión Escolar - Junio 2024,B001-2024069246,9246
116288,350,2024-08-01,Pensión Escolar - Julio 2024,B001-2024079246,9246
116289,350,2024-08-26,Pensión Escolar - Agosto 2024,B001-2024089246,9246
116290,350,2024-09-24,Pensión Escolar - Setiembre 2024,B001-2024099246,9246
116291,350,2024-10-22,Pensión Escolar - Octubre 2024,B001-2024109246,9246
116292,350,2024-11-29,Pensión Escolar - Noviembre 2024,B001-2024119246,9246
116293,350,2024-12-18,Pensión Escolar - Diciembre 2024,B001-2024129246,9246
116294,350,2024-03-22,Pensión Escolar - Marzo 2024,B001-2024039287,9287
116295,350,2024-04-23,Pensión Escolar - Abril 2024,B001-2024049287,9287
116296,350,2024-05-28,Pensión Escolar - Mayo 2024,B001-2024059287,9287
116297,350,2024-06-24,Pensión Escolar - Junio 2024,B001-2024069287,9287
116298,350,2024-07-19,Pensión Escolar - Julio 2024,B001-2024079287,9287
116299,350,2024-08-28,Pensión Escolar - Agosto 2024,B001-2024089287,9287
116300,350,2024-09-20,Pensión Escolar - Setiembre 2024,B001-2024099287,9287
116301,350,2024-10-21,Pensión Escolar - Octubre 2024,B001-2024109287,9287
116302,350,2024-11-20,Pensión Escolar - Noviembre 2024,B001-2024119287,9287
116303,350,2024-12-24,Pensión Escolar - Diciembre 2024,B001-2024129287,9287
116304,350,2024-03-28,Pensión Escolar - Marzo 2024,B001-2024038961,8961
116305,350,2024-04-23,Pensión Escolar - Abril 2024,B001-2024048961,8961
116306,350,2024-05-27,Pensión Escolar - Mayo 2024,B001-2024058961,8961
116307,350,2024-06-28,Pensión Escolar - Junio 2024,B001-2024068961,8961
116308,350,2024-07-26,Pensión Escolar - Julio 2024,B001-2024078961,8961
116309,350,2024-08-30,Pensión Escolar - Agosto 2024,B001-2024088961,8961
116310,350,2024-09-20,Pensión Escolar - Setiembre 2024,B001-2024098961,8961
116311,350,2024-10-25,Pensión Escolar - Octubre 2024,B001-2024108961,8961
116312,350,2024-11-20,Pensión Escolar - Noviembre 2024,B001-2024118961,8961
116313,350,2024-12-31,Pensión Escolar - Diciembre 2024,B001-2024128961,8961
116314,350,2024-03-29,Pensión Escolar - Marzo 2024,B001-2024039300,9300
116315,350,2024-04-29,Pensión Escolar - Abril 2024,B001-2024049300,9300
116316,350,2024-05-31,Pensión Escolar - Mayo 2024,B001-2024059300,9300
116317,350,2024-06-28,Pensión Escolar - Junio 2024,B001-2024069300,9300
116318,350,2024-08-02,Pensión Escolar - Julio 2024,B001-2024079300,9300
116319,350,2024-09-24,Pensión Escolar - Setiembre 2024,B001-2024099300,9300
116320,350,2024-11-29,Pensión Escolar - Noviembre 2024,B001-2024119300,9300
116321,350,2024-12-23,Pensión Escolar - Diciembre 2024,B001-2024129300,9300
116322,350,2024-03-29,Pensión Escolar - Marzo 2024,B001-2024038968,8968
116323,350,2024-05-02,Pensión Escolar - Abril 2024,B001-2024048968,8968
116324,350,2024-05-17,Pensión Escolar - Mayo 2024,B001-2024058968,8968
116325,350,2024-06-18,Pensión Escolar - Junio 2024,B001-2024068968,8968
116326,350,2024-07-19,Pensión Escolar - Julio 2024,B001-2024078968,8968
116327,350,2024-08-23,Pensión Escolar - Agosto 2024,B001-2024088968,8968
116328,350,2024-10-01,Pensión Escolar - Setiembre 2024,B001-2024098968,8968
116329,350,2024-10-18,Pensión Escolar - Octubre 2024,B001-2024108968,8968
116330,350,2024-11-20,Pensión Escolar - Noviembre 2024,B001-2024118968,8968
116331,350,2024-12-25,Pensión Escolar - Diciembre 2024,B001-2024128968,8968
116332,350,2024-03-19,Pensión Escolar - Marzo 2024,B001-2024039107,9107
116333,350,2024-04-22,Pensión Escolar - Abril 2024,B001-2024049107,9107
116334,350,2024-05-27,Pensión Escolar - Mayo 2024,B001-2024059107,9107
116335,350,2024-07-01,Pensión Escolar - Junio 2024,B001-2024069107,9107
116336,350,2024-07-19,Pensión Escolar - Julio 2024,B001-2024079107,9107
116337,350,2024-08-23,Pensión Escolar - Agosto 2024,B001-2024089107,9107
116338,350,2024-10-01,Pensión Escolar - Setiembre 2024,B001-2024099107,9107
116339,350,2024-10-25,Pensión Escolar - Octubre 2024,B001-2024109107,9107
116340,350,2024-11-22,Pensión Escolar - Noviembre 2024,B001-2024119107,9107
116341,350,2024-12-20,Pensión Escolar - Diciembre 2024,B001-2024129107,9107
116342,350,2024-03-28,Pensión Escolar - Marzo 2024,B001-2024039307,9307
116343,350,2024-04-22,Pensión Escolar - Abril 2024,B001-2024049307,9307
116344,350,2024-05-24,Pensión Escolar - Mayo 2024,B001-2024059307,9307
116345,350,2024-06-25,Pensión Escolar - Junio 2024,B001-2024069307,9307
116346,350,2024-07-19,Pensión Escolar - Julio 2024,B001-2024079307,9307
116347,350,2024-09-18,Pensión Escolar - Setiembre 2024,B001-2024099307,9307
116348,350,2024-10-30,Pensión Escolar - Octubre 2024,B001-2024109307,9307
116349,350,2024-11-26,Pensión Escolar - Noviembre 2024,B001-2024119307,9307
116350,350,2025-01-02,Pensión Escolar - Diciembre 2024,B001-2024129307,9307
116351,350,2024-03-22,Pensión Escolar - Marzo 2024,B001-2024038983,8983
116352,350,2024-05-02,Pensión Escolar - Abril 2024,B001-2024048983,8983
116353,350,2024-05-17,Pensión Escolar - Mayo 2024,B001-2024058983,8983
116354,350,2024-06-25,Pensión Escolar - Junio 2024,B001-2024068983,8983
116355,350,2024-07-30,Pensión Escolar - Julio 2024,B001-2024078983,8983
116356,350,2024-08-27,Pensión Escolar - Agosto 2024,B001-2024088983,8983
116357,350,2024-09-25,Pensión Escolar - Setiembre 2024,B001-2024098983,8983
116358,350,2024-10-25,Pensión Escolar - Octubre 2024,B001-2024108983,8983
116359,350,2024-11-22,Pensión Escolar - Noviembre 2024,B001-2024118983,8983
116360,350,2025-01-01,Pensión Escolar - Diciembre 2024,B001-2024128983,8983
116361,350,2024-03-18,Pensión Escolar - Marzo 2024,B001-2024039146,9146
116362,350,2024-04-26,Pensión Escolar - Abril 2024,B001-2024049146,9146
116363,350,2024-05-31,Pensión Escolar - Mayo 2024,B001-2024059146,9146
116364,350,2024-06-21,Pensión Escolar - Junio 2024,B001-2024069146,9146
116365,350,2024-07-30,Pensión Escolar - Julio 2024,B001-2024079146,9146
116366,350,2024-08-30,Pensión Escolar - Agosto 2024,B001-2024089146,9146
116367,350,2024-09-25,Pensión Escolar - Setiembre 2024,B001-2024099146,9146
116368,350,2024-10-31,Pensión Escolar - Octubre 2024,B001-2024109146,9146
116369,350,2024-12-03,Pensión Escolar - Noviembre 2024,B001-2024119146,9146
116370,350,2024-12-19,Pensión Escolar - Diciembre 2024,B001-2024129146,9146
116371,350,2024-04-19,Pensión Escolar - Abril 2024,B001-2024049317,9317
116372,350,2024-05-29,Pensión Escolar - Mayo 2024,B001-2024059317,9317
116373,350,2024-06-27,Pensión Escolar - Junio 2024,B001-2024069317,9317
116374,350,2024-08-02,Pensión Escolar - Julio 2024,B001-2024079317,9317
116375,350,2024-08-26,Pensión Escolar - Agosto 2024,B001-2024089317,9317
116376,350,2024-09-27,Pensión Escolar - Setiembre 2024,B001-2024099317,9317
116377,350,2024-10-18,Pensión Escolar - Octubre 2024,B001-2024109317,9317
116378,350,2024-12-30,Pensión Escolar - Diciembre 2024,B001-2024129317,9317
116379,350,2024-03-29,Pensión Escolar - Marzo 2024,B001-2024039127,9127
116380,350,2024-04-19,Pensión Escolar - Abril 2024,B001-2024049127,9127
116381,350,2024-05-21,Pensión Escolar - Mayo 2024,B001-2024059127,9127
116382,350,2024-06-24,Pensión Escolar - Junio 2024,B001-2024069127,9127
116383,350,2024-07-19,Pensión Escolar - Julio 2024,B001-2024079127,9127
116384,350,2024-08-20,Pensión Escolar - Agosto 2024,B001-2024089127,9127
116385,350,2024-09-18,Pensión Escolar - Setiembre 2024,B001-2024099127,9127
116386,350,2024-10-25,Pensión Escolar - Octubre 2024,B001-2024109127,9127
116387,350,2024-11-29,Pensión Escolar - Noviembre 2024,B001-2024119127,9127
116388,350,2024-12-25,Pensión Escolar - Diciembre 2024,B001-2024129127,9127
116389,350,2024-03-27,Pensión Escolar - Marzo 2024,B001-2024039257,9257
116390,350,2024-05-02,Pensión Escolar - Abril 2024,B001-2024049257,9257
116391,350,2024-05-20,Pensión Escolar - Mayo 2024,B001-2024059257,9257
116392,350,2024-06-21,Pensión Escolar - Junio 2024,B001-2024069257,9257
116393,350,2024-07-19,Pensión Escolar - Julio 2024,B001-2024079257,9257
116394,350,2024-08-30,Pensión Escolar - Agosto 2024,B001-2024089257,9257
116395,350,2024-10-03,Pensión Escolar - Setiembre 2024,B001-2024099257,9257
116396,350,2024-10-18,Pensión Escolar - Octubre 2024,B001-2024109257,9257
116397,350,2024-11-27,Pensión Escolar - Noviembre 2024,B001-2024119257,9257
116398,350,2024-12-27,Pensión Escolar - Diciembre 2024,B001-2024129257,9257
116399,350,2024-03-20,Pensión Escolar - Marzo 2024,B001-2024039085,9085
116400,350,2024-04-26,Pensión Escolar - Abril 2024,B001-2024049085,9085
116401,350,2024-05-21,Pensión Escolar - Mayo 2024,B001-2024059085,9085
116402,350,2024-06-24,Pensión Escolar - Junio 2024,B001-2024069085,9085
116403,350,2024-07-25,Pensión Escolar - Julio 2024,B001-2024079085,9085
116404,350,2024-08-22,Pensión Escolar - Agosto 2024,B001-2024089085,9085
116405,350,2024-09-19,Pensión Escolar - Setiembre 2024,B001-2024099085,9085
116406,350,2024-10-24,Pensión Escolar - Octubre 2024,B001-2024109085,9085
116407,350,2024-11-21,Pensión Escolar - Noviembre 2024,B001-2024119085,9085
116408,350,2024-12-26,Pensión Escolar - Diciembre 2024,B001-2024129085,9085
116409,350,2024-03-21,Pensión Escolar - Marzo 2024,B001-2024039230,9230
116410,350,2024-04-18,Pensión Escolar - Abril 2024,B001-2024049230,9230
116411,350,2024-05-27,Pensión Escolar - Mayo 2024,B001-2024059230,9230
116412,350,2024-06-24,Pensión Escolar - Junio 2024,B001-2024069230,9230
116413,350,2024-07-31,Pensión Escolar - Julio 2024,B001-2024079230,9230
116414,350,2024-09-02,Pensión Escolar - Agosto 2024,B001-2024089230,9230
116415,350,2024-09-20,Pensión Escolar - Setiembre 2024,B001-2024099230,9230
116416,350,2024-10-21,Pensión Escolar - Octubre 2024,B001-2024109230,9230
116417,350,2024-11-29,Pensión Escolar - Noviembre 2024,B001-2024119230,9230
116418,350,2024-12-27,Pensión Escolar - Diciembre 2024,B001-2024129230,9230
116419,350,2024-03-22,Pensión Escolar - Marzo 2024,B001-2024039056,9056
116420,350,2024-04-19,Pensión Escolar - Abril 2024,B001-2024049056,9056
116421,350,2024-06-21,Pensión Escolar - Junio 2024,B001-2024069056,9056
116422,350,2024-07-29,Pensión Escolar - Julio 2024,B001-2024079056,9056
116423,350,2024-08-28,Pensión Escolar - Agosto 2024,B001-2024089056,9056
116424,350,2024-09-26,Pensión Escolar - Setiembre 2024,B001-2024099056,9056
116425,350,2024-11-01,Pensión Escolar - Octubre 2024,B001-2024109056,9056
116426,350,2024-11-18,Pensión Escolar - Noviembre 2024,B001-2024119056,9056
116427,350,2024-12-25,Pensión Escolar - Diciembre 2024,B001-2024129056,9056
116428,350,2024-04-02,Pensión Escolar - Marzo 2024,B001-2024039176,9176
116429,350,2024-04-19,Pensión Escolar - Abril 2024,B001-2024049176,9176
116430,350,2024-05-31,Pensión Escolar - Mayo 2024,B001-2024059176,9176
116431,350,2024-07-01,Pensión Escolar - Junio 2024,B001-2024069176,9176
116432,350,2024-07-29,Pensión Escolar - Julio 2024,B001-2024079176,9176
116433,350,2024-08-26,Pensión Escolar - Agosto 2024,B001-2024089176,9176
116434,350,2024-09-30,Pensión Escolar - Setiembre 2024,B001-2024099176,9176
116435,350,2024-10-21,Pensión Escolar - Octubre 2024,B001-2024109176,9176
116436,350,2024-11-22,Pensión Escolar - Noviembre 2024,B001-2024119176,9176
116437,350,2024-12-20,Pensión Escolar - Diciembre 2024,B001-2024129176,9176
116438,350,2024-03-20,Pensión Escolar - Marzo 2024,B001-2024039240,9240
116439,350,2024-04-18,Pensión Escolar - Abril 2024,B001-2024049240,9240
116440,350,2024-05-20,Pensión Escolar - Mayo 2024,B001-2024059240,9240
116441,350,2024-06-20,Pensión Escolar - Junio 2024,B001-2024069240,9240
116442,350,2024-07-31,Pensión Escolar - Julio 2024,B001-2024079240,9240
116443,350,2024-08-27,Pensión Escolar - Agosto 2024,B001-2024089240,9240
116444,350,2024-09-27,Pensión Escolar - Setiembre 2024,B001-2024099240,9240
116445,350,2024-10-30,Pensión Escolar - Octubre 2024,B001-2024109240,9240
116446,350,2024-11-28,Pensión Escolar - Noviembre 2024,B001-2024119240,9240
116447,350,2024-12-31,Pensión Escolar - Diciembre 2024,B001-2024129240,9240
116448,350,2024-03-25,Pensión Escolar - Marzo 2024,B001-2024039190,9190
116449,350,2024-04-23,Pensión Escolar - Abril 2024,B001-2024049190,9190
116450,350,2024-05-31,Pensión Escolar - Mayo 2024,B001-2024059190,9190
116451,350,2024-06-20,Pensión Escolar - Junio 2024,B001-2024069190,9190
116452,350,2024-07-19,Pensión Escolar - Julio 2024,B001-2024079190,9190
116453,350,2024-08-22,Pensión Escolar - Agosto 2024,B001-2024089190,9190
116454,350,2024-09-27,Pensión Escolar - Setiembre 2024,B001-2024099190,9190
116455,350,2024-10-25,Pensión Escolar - Octubre 2024,B001-2024109190,9190
116456,350,2024-11-22,Pensión Escolar - Noviembre 2024,B001-2024119190,9190
116457,350,2024-12-23,Pensión Escolar - Diciembre 2024,B001-2024129190,9190
116458,350,2024-03-22,Pensión Escolar - Marzo 2024,B001-2024039204,9204
116459,350,2024-04-25,Pensión Escolar - Abril 2024,B001-2024049204,9204
116460,350,2024-05-31,Pensión Escolar - Mayo 2024,B001-2024059204,9204
116461,350,2024-06-28,Pensión Escolar - Junio 2024,B001-2024069204,9204
116462,350,2024-07-24,Pensión Escolar - Julio 2024,B001-2024079204,9204
116463,350,2024-08-23,Pensión Escolar - Agosto 2024,B001-2024089204,9204
116464,350,2024-09-20,Pensión Escolar - Setiembre 2024,B001-2024099204,9204
116465,350,2024-10-25,Pensión Escolar - Octubre 2024,B001-2024109204,9204
116466,350,2024-11-25,Pensión Escolar - Noviembre 2024,B001-2024119204,9204
116467,350,2024-12-27,Pensión Escolar - Diciembre 2024,B001-2024129204,9204
116468,350,2024-03-22,Pensión Escolar - Marzo 2024,B001-2024039002,9002
116469,350,2024-05-02,Pensión Escolar - Abril 2024,B001-2024049002,9002
116470,350,2024-05-31,Pensión Escolar - Mayo 2024,B001-2024059002,9002
116471,350,2024-06-28,Pensión Escolar - Junio 2024,B001-2024069002,9002
116472,350,2024-07-19,Pensión Escolar - Julio 2024,B001-2024079002,9002
116473,350,2024-08-23,Pensión Escolar - Agosto 2024,B001-2024089002,9002
116474,350,2024-09-20,Pensión Escolar - Setiembre 2024,B001-2024099002,9002
116475,350,2024-10-30,Pensión Escolar - Octubre 2024,B001-2024109002,9002
116476,350,2024-11-29,Pensión Escolar - Noviembre 2024,B001-2024119002,9002
116477,350,2024-12-27,Pensión Escolar - Diciembre 2024,B001-2024129002,9002
116478,350,2024-03-27,Pensión Escolar - Marzo 2024,B001-2024039278,9278
116479,350,2024-04-26,Pensión Escolar - Abril 2024,B001-2024049278,9278
116480,350,2024-05-23,Pensión Escolar - Mayo 2024,B001-2024059278,9278
116481,350,2024-06-27,Pensión Escolar - Junio 2024,B001-2024069278,9278
116482,350,2024-07-19,Pensión Escolar - Julio 2024,B001-2024079278,9278
116483,350,2024-08-28,Pensión Escolar - Agosto 2024,B001-2024089278,9278
116484,350,2024-09-24,Pensión Escolar - Setiembre 2024,B001-2024099278,9278
116485,350,2024-10-18,Pensión Escolar - Octubre 2024,B001-2024109278,9278
116486,350,2024-11-29,Pensión Escolar - Noviembre 2024,B001-2024119278,9278
116487,350,2024-12-30,Pensión Escolar - Diciembre 2024,B001-2024129278,9278
116488,350,2024-03-22,Pensión Escolar - Marzo 2024,B001-2024039202,9202
116489,350,2024-04-29,Pensión Escolar - Abril 2024,B001-2024049202,9202
116490,350,2024-05-24,Pensión Escolar - Mayo 2024,B001-2024059202,9202
116491,350,2024-06-26,Pensión Escolar - Junio 2024,B001-2024069202,9202
116492,350,2024-07-24,Pensión Escolar - Julio 2024,B001-2024079202,9202
116493,350,2024-08-26,Pensión Escolar - Agosto 2024,B001-2024089202,9202
116494,350,2024-09-25,Pensión Escolar - Setiembre 2024,B001-2024099202,9202
116495,350,2024-10-18,Pensión Escolar - Octubre 2024,B001-2024109202,9202
116496,350,2024-11-29,Pensión Escolar - Noviembre 2024,B001-2024119202,9202
116497,350,2024-12-20,Pensión Escolar - Diciembre 2024,B001-2024129202,9202
116498,350,2024-03-28,Pensión Escolar - Marzo 2024,B001-2024039032,9032
116499,350,2024-04-30,Pensión Escolar - Abril 2024,B001-2024049032,9032
116500,350,2024-05-27,Pensión Escolar - Mayo 2024,B001-2024059032,9032
116501,350,2024-06-21,Pensión Escolar - Junio 2024,B001-2024069032,9032
116502,350,2024-07-31,Pensión Escolar - Julio 2024,B001-2024079032,9032
116503,350,2024-08-16,Pensión Escolar - Agosto 2024,B001-2024089032,9032
116504,350,2024-09-26,Pensión Escolar - Setiembre 2024,B001-2024099032,9032
116505,350,2024-10-25,Pensión Escolar - Octubre 2024,B001-2024109032,9032
116506,350,2024-11-29,Pensión Escolar - Noviembre 2024,B001-2024119032,9032
116507,350,2024-12-24,Pensión Escolar - Diciembre 2024,B001-2024129032,9032
116508,350,2024-03-29,Pensión Escolar - Marzo 2024,B001-2024039047,9047
116509,350,2024-04-19,Pensión Escolar - Abril 2024,B001-2024049047,9047
116510,350,2024-05-31,Pensión Escolar - Mayo 2024,B001-2024059047,9047
116511,350,2024-06-19,Pensión Escolar - Junio 2024,B001-2024069047,9047
116512,350,2024-07-23,Pensión Escolar - Julio 2024,B001-2024079047,9047
116513,350,2024-08-29,Pensión Escolar - Agosto 2024,B001-2024089047,9047
116514,350,2024-09-19,Pensión Escolar - Setiembre 2024,B001-2024099047,9047
116515,350,2024-10-18,Pensión Escolar - Octubre 2024,B001-2024109047,9047
116516,350,2024-11-29,Pensión Escolar - Noviembre 2024,B001-2024119047,9047
116517,350,2024-12-20,Pensión Escolar - Diciembre 2024,B001-2024129047,9047
116518,350,2024-03-29,Pensión Escolar - Marzo 2024,B001-2024039286,9286
116519,350,2024-04-19,Pensión Escolar - Abril 2024,B001-2024049286,9286
116520,350,2024-06-26,Pensión Escolar - Junio 2024,B001-2024069286,9286
116521,350,2024-07-19,Pensión Escolar - Julio 2024,B001-2024079286,9286
116522,350,2024-08-30,Pensión Escolar - Agosto 2024,B001-2024089286,9286
116523,350,2024-09-27,Pensión Escolar - Setiembre 2024,B001-2024099286,9286
