id,periodo,monto,estado,estudiante_id
164347,Mayo 2024,350,Pagado,9123
164348,Junio 2024,350,Pagado,9123
164349,Julio 2024,350,Pagado,9123
164350,Agosto 2024,350,Pagado,9123
164351,Setiembre 2024,350,Pagado,9123
164352,Octubre 2024,350,Pagado,9123
164353,Noviembre 2024,350,Pagado,9123
164354,Diciembre 2024,350,Pagado,9123
164355,Marzo 2024,350,Pagado,9309
164356,Abril 2024,350,Pagado,9309
164357,Mayo 2024,350,Pagado,9309
164358,Junio 2024,350,Pagado,9309
164359,Julio 2024,350,Pagado,9309
164360,Agosto 2024,350,Pagado,9309
164361,Setiembre 2024,350,Vencido,9309
164362,Octubre 2024,350,Pagado,9309
164363,Noviembre 2024,350,Pagado,9309
164364,Diciembre 2024,350,Pagado,9309
164365,Marzo 2024,350,Pagado,9272
164366,Abril 2024,350,Pagado,9272
164367,Mayo 2024,350,Pagado,9272
164368,Junio 2024,350,Pagado,9272
164369,Julio 2024,350,Pagado,9272
164370,Agosto 2024,350,Pagado,9272
164371,Setiembre 2024,350,Pagado,9272
164372,Octubre 2024,350,Pagado,9272
164373,Noviembre 2024,350,Pagado,9272
164374,Diciembre 2024,350,Pagado,9272
164375,Marzo 2024,350,Pagado,9018
164376,Abril 2024,350,Pagado,9018
164377,Mayo 2024,350,Pagado,9018
164378,Junio 2024,350,Pagado,9018
164379,Julio 2024,350,Pagado,9018
164380,Agosto 2024,350,Pagado,9018
164381,Setiembre 2024,350,Pagado,9018
164382,Octubre 2024,350,Pagado,9018
164383,Noviembre 2024,350,Pagado,9018
164384,Diciembre 2024,350,Pagado,9018
164385,Marzo 2024,350,Pagado,9246
164386,Abril 2024,350,Pagado,9246
164387,Mayo 2024,350,Pagado,9246
164388,Junio 2024,350,Pagado,9246
164389,Julio 2024,350,Pagado,9246
164390,Agosto 2024,350,Pagado,9246
164391,Setiembre 2024,350,Pagado,9246
164392,Octubre 2024,350,Pagado,9246
164393,Noviembre 2024,350,Pagado,9246
164394,Diciembre 2024,350,Pagado,9246
164395,Marzo 2024,350,Pagado,9287
164396,Abril 2024,350,Pagado,9287
164397,Mayo 2024,350,Pagado,9287
164398,Junio 2024,350,Pagado,9287
164399,Julio 2024,350,Pagado,9287
164400,Agosto 2024,350,Pagado,9287
164401,Setiembre 2024,350,Pagado,9287
164402,Octubre 2024,350,Pagado,9287
164403,Noviembre 2024,350,Pagado,9287
164404,Diciembre 2024,350,Pagado,9287
164405,Marzo 2024,350,Pagado,8961
164406,Abril 2024,350,Pagado,8961
164407,Mayo 2024,350,Pagado,8961
164408,Junio 2024,350,Pagado,8961
164409,Julio 2024,350,Pagado,8961
164410,Agosto 2024,350,Pagado,8961
164411,Setiembre 2024,350,Pagado,8961
164412,Octubre 2024,350,Pagado,8961
164413,Noviembre 2024,350,Pagado,8961
164414,Diciembre 2024,350,Pagado,8961
164415,Marzo 2024,350,Pagado,9300
164416,Abril 2024,350,Pagado,9300
164417,Mayo 2024,350,Pagado,9300
164418,Junio 2024,350,Pagado,9300
164419,Julio 2024,350,Pagado,9300
164420,Agosto 2024,350,Vencido,9300
164421,Setiembre 2024,350,Pagado,9300
164422,Octubre 2024,350,Vencido,9300
164423,Noviembre 2024,350,Pagado,9300
164424,Diciembre 2024,350,Pagado,9300
164425,Marzo 2024,350,Pagado,8968
164426,Abril 2024,350,Pagado,8968
164427,Mayo 2024,350,Pagado,8968
164428,Junio 2024,350,Pagado,8968
164429,Julio 2024,350,Pagado,8968
164430,Agosto 2024,350,Pagado,8968
164431,Setiembre 2024,350,Pagado,8968
164432,Octubre 2024,350,Pagado,8968
164433,Noviembre 2024,350,Pagado,8968
164434,Diciembre 2024,350,Pagado,8968
164435,Marzo 2024,350,Pagado,9107
164436,Abril 2024,350,Pagado,9107
164437,Mayo 2024,350,Pagado,9107
164438,Junio 2024,350,Pagado,9107
164439,Julio 2024,350,Pagado,9107
164440,Agosto 2024,350,Pagado,9107
164441,Setiembre 2024,350,Pagado,9107
164442,Octubre 2024,350,Pagado,9107
164443,Noviembre 2024,350,Pagado,9107
164444,Diciembre 2024,350,Pagado,9107
164445,Marzo 2024,350,Pagado,9307
164446,Abril 2024,350,Pagado,9307
164447,Mayo 2024,350,Pagado,9307
164448,Junio 2024,350,Pagado,9307
164449,Julio 2024,350,Pagado,9307
164450,Agosto 2024,350,Vencido,9307
164451,Setiembre 2024,350,Pagado,9307
164452,Octubre 2024,350,Pagado,9307
164453,Noviembre 2024,350,Pagado,9307
164454,Diciembre 2024,350,Pagado,9307
164455,Marzo 2024,350,Pagado,8983
164456,Abril 2024,350,Pagado,8983
164457,Mayo 2024,350,Pagado,8983
164458,Junio 2024,350,Pagado,8983
164459,Julio 2024,350,Pagado,8983
164460,Agosto 2024,350,Pagado,8983
164461,Setiembre 2024,350,Pagado,8983
164462,Octubre 2024,350,Pagado,8983
164463,Noviembre 2024,350,Pagado,8983
164464,Diciembre 2024,350,Pagado,8983
164465,Marzo 2024,350,Pagado,9146
164466,Abril 2024,350,Pagado,9146
164467,Mayo 2024,350,Pagado,9146
164468,Junio 2024,350,Pagado,9146
164469,Julio 2024,350,Pagado,9146
164470,Agosto 2024,350,Pagado,9146
164471,Setiembre 2024,350,Pagado,9146
164472,Octubre 2024,350,Pagado,9146
164473,Noviembre 2024,350,Pagado,9146
164474,Diciembre 2024,350,Pagado,9146
164475,Marzo 2024,350,Vencido,9317
164476,Abril 2024,350,Pagado,9317
164477,Mayo 2024,350,Pagado,9317
164478,Junio 2024,350,Pagado,9317
164479,Julio 2024,350,Pagado,9317
164480,Agosto 2024,350,Pagado,9317
164481,Setiembre 2024,350,Pagado,9317
164482,Octubre 2024,350,Pagado,9317
164483,Noviembre 2024,350,Vencido,9317
164484,Diciembre 2024,350,Pagado,9317
164485,Marzo 2024,350,Pagado,9127
164486,Abril 2024,350,Pagado,9127
164487,Mayo 2024,350,Pagado,9127
164488,Junio 2024,350,Pagado,9127
164489,Julio 2024,350,Pagado,9127
164490,Agosto 2024,350,Pagado,9127
164491,Setiembre 2024,350,Pagado,9127
164492,Octubre 2024,350,Pagado,9127
164493,Noviembre 2024,350,Pagado,9127
164494,Diciembre 2024,350,Pagado,9127
164495,Marzo 2024,350,Pagado,9257
164496,Abril 2024,350,Pagado,9257
164497,Mayo 2024,350,Pagado,9257
164498,Junio 2024,350,Pagado,9257
164499,Julio 2024,350,Pagado,9257
164500,Agosto 2024,350,Pagado,9257
164501,Setiembre 2024,350,Pagado,9257
164502,Octubre 2024,350,Pagado,9257
164503,Noviembre 2024,350,Pagado,9257
164504,Diciembre 2024,350,Pagado,9257
164505,Marzo 2024,350,Pagado,9085
164506,Abril 2024,350,Pagado,9085
164507,Mayo 2024,350,Pagado,9085
164508,Junio 2024,350,Pagado,9085
164509,Julio 2024,350,Pagado,9085
164510,Agosto 2024,350,Pagado,9085
164511,Setiembre 2024,350,Pagado,9085
164512,Octubre 2024,350,Pagado,9085
164513,Noviembre 2024,350,Pagado,9085
164514,Diciembre 2024,350,Pagado,9085
164515,Marzo 2024,350,Pagado,9230
164516,Abril 2024,350,Pagado,9230
164517,Mayo 2024,350,Pagado,9230
164518,Junio 2024,350,Pagado,9230
164519,Julio 2024,350,Pagado,9230
164520,Agosto 2024,350,Pagado,9230
164521,Setiembre 2024,350,Pagado,9230
164522,Octubre 2024,350,Pagado,9230
164523,Noviembre 2024,350,Pagado,9230
164524,Diciembre 2024,350,Pagado,9230
164525,Marzo 2024,350,Pagado,9056
164526,Abril 2024,350,Pagado,9056
164527,Mayo 2024,350,Vencido,9056
164528,Junio 2024,350,Pagado,9056
164529,Julio 2024,350,Pagado,9056
164530,Agosto 2024,350,Pagado,9056
164531,Setiembre 2024,350,Pagado,9056
164532,Octubre 2024,350,Pagado,9056
164533,Noviembre 2024,350,Pagado,9056
164534,Diciembre 2024,350,Pagado,9056
164535,Marzo 2024,350,Pagado,9176
164536,Abril 2024,350,Pagado,9176
164537,Mayo 2024,350,Pagado,9176
164538,Junio 2024,350,Pagado,9176
164539,Julio 2024,350,Pagado,9176
164540,Agosto 2024,350,Pagado,9176
164541,Setiembre 2024,350,Pagado,9176
164542,Octubre 2024,350,Pagado,9176
164543,Noviembre 2024,350,Pagado,9176
164544,Diciembre 2024,350,Pagado,9176
164545,Marzo 2024,350,Pagado,9240
164546,Abril 2024,350,Pagado,9240
164547,Mayo 2024,350,Pagado,9240
164548,Junio 2024,350,Pagado,9240
164549,Julio 2024,350,Pagado,9240
164550,Agosto 2024,350,Pagado,9240
164551,Setiembre 2024,350,Pagado,9240
164552,Octubre 2024,350,Pagado,9240
164553,Noviembre 2024,350,Pagado,9240
164554,Diciembre 2024,350,Pagado,9240
164555,Marzo 2024,350,Pagado,9190
164556,Abril 2024,350,Pagado,9190
164557,Mayo 2024,350,Pagado,9190
164558,Junio 2024,350,Pagado,9190
164559,Julio 2024,350,Pagado,9190
164560,Agosto 2024,350,Pagado,9190
164561,Setiembre 2024,350,Pagado,9190
164562,Octubre 2024,350,Pagado,9190
164563,Noviembre 2024,350,Pagado,9190
164564,Diciembre 2024,350,Pagado,9190
164565,Marzo 2024,350,Pagado,9204
164566,Abril 2024,350,Pagado,9204
164567,Mayo 2024,350,Pagado,9204
164568,Junio 2024,350,Pagado,9204
164569,Julio 2024,350,Pagado,9204
164570,Agosto 2024,350,Pagado,9204
164571,Setiembre 2024,350,Pagado,9204
164572,Octubre 2024,350,Pagado,9204
164573,Noviembre 2024,350,Pagado,9204
164574,Diciembre 2024,350,Pagado,9204
164575,Marzo 2024,350,Pagado,9002
164576,Abril 2024,350,Pagado,9002
164577,Mayo 2024,350,Pagado,9002
164578,Junio 2024,350,Pagado,9002
164579,Julio 2024,350,Pagado,9002
164580,Agosto 2024,350,Pagado,9002
164581,Setiembre 2024,350,Pagado,9002
164582,Octubre 2024,350,Pagado,9002
164583,Noviembre 2024,350,Pagado,9002
164584,Diciembre 2024,350,Pagado,9002
164585,Marzo 2024,350,Pagado,9278
164586,Abril 2024,350,Pagado,9278
164587,Mayo 2024,350,Pagado,9278
164588,Junio 2024,350,Pagado,9278
164589,Julio 2024,350,Pagado,9278
164590,Agosto 2024,350,Pagado,9278
164591,Setiembre 2024,350,Pagado,9278
164592,Octubre 2024,350,Pagado,9278
164593,Noviembre 2024,350,Pagado,9278
164594,Diciembre 2024,350,Pagado,9278
164595,Marzo 2024,350,Pagado,9202
164596,Abril 2024,350,Pagado,9202
164597,Mayo 2024,350,Pagado,9202
164598,Junio 2024,350,Pagado,9202
164599,Julio 2024,350,Pagado,9202
164600,Agosto 2024,350,Pagado,9202
164601,Setiembre 2024,350,Pagado,9202
164602,Octubre 2024,350,Pagado,9202
164603,Noviembre 2024,350,Pagado,9202
164604,Diciembre 2024,350,Pagado,9202
164605,Marzo 2024,350,Pagado,9032
164606,Abril 2024,350,Pagado,9032
164607,Mayo 2024,350,Pagado,9032
164608,Junio 2024,350,Pagado,9032
164609,Julio 2024,350,Pagado,9032
164610,Agosto 2024,350,Pagado,9032
164611,Setiembre 2024,350,Pagado,9032
164612,Octubre 2024,350,Pagado,9032
164613,Noviembre 2024,350,Pagado,9032
164614,Diciembre 2024,350,Pagado,9032
164615,Marzo 2024,350,Pagado,9047
164616,Abril 2024,350,Pagado,9047
164617,Mayo 2024,350,Pagado,9047
164618,Junio 2024,350,Pagado,9047
164619,Julio 2024,350,Pagado,9047
164620,Agosto 2024,350,Pagado,9047
164621,Setiembre 2024,350,Pagado,9047
164622,Octubre 2024,350,Pagado,9047
164623,Noviembre 2024,350,Pagado,9047
164624,Diciembre 2024,350,Pagado,9047
164625,Marzo 2024,350,Pagado,9286
164626,Abril 2024,350,Pagado,9286
164627,Mayo 2024,350,Vencido,9286
164628,Junio 2024,350,Pagado,9286
164629,Julio 2024,350,Pagado,9286
164630,Agosto 2024,350,Pagado,9286
164631,Setiembre 2024,350,Pagado,9286
164632,Octubre 2024,350,Pagado,9286
164633,Noviembre 2024,350,Pagado,9286
164634,Diciembre 2024,350,Pagado,9286
164635,Marzo 2024,350,Pagado,9082
164636,Abril 2024,350,Pagado,9082
164637,Mayo 2024,350,Pagado,9082
164638,Junio 2024,350,Pagado,9082
164639,Julio 2024,350,Pagado,9082
164640,Agosto 2024,350,Pagado,9082
164641,Setiembre 2024,350,Pagado,9082
164642,Octubre 2024,350,Pagado,9082
164643,Noviembre 2024,350,Pagado,9082
164644,Diciembre 2024,350,Pagado,9082
164645,Marzo 2024,350,Pagado,9221
164646,Abril 2024,350,Pagado,9221
164647,Mayo 2024,350,Vencido,9221
164648,Junio 2024,350,Pagado,9221
164649,Julio 2024,350,Pagado,9221
164650,Agosto 2024,350,Pagado,9221
164651,Setiembre 2024,350,Pagado,9221
164652,Octubre 2024,350,Pagado,9221
164653,Noviembre 2024,350,Pagado,9221
164654,Diciembre 2024,350,Pagado,9221
164655,Marzo 2024,350,Vencido,8995
164656,Abril 2024,350,Pagado,8995
164657,Mayo 2024,350,Pagado,8995
164658,Junio 2024,350,Pagado,8995
164659,Julio 2024,350,Pagado,8995
164660,Agosto 2024,350,Pagado,8995
164661,Setiembre 2024,350,Pagado,8995
164662,Octubre 2024,350,Pagado,8995
164663,Noviembre 2024,350,Pagado,8995
164664,Diciembre 2024,350,Pagado,8995
164665,Marzo 2024,350,Pagado,9265
164666,Abril 2024,350,Pagado,9265
164667,Mayo 2024,350,Pagado,9265
164668,Junio 2024,350,Pagado,9265
164669,Julio 2024,350,Pagado,9265
164670,Agosto 2024,350,Pagado,9265
164671,Setiembre 2024,350,Pagado,9265
164672,Octubre 2024,350,Pagado,9265
164673,Noviembre 2024,350,Pagado,9265
164674,Diciembre 2024,350,Pagado,9265
164675,Marzo 2024,350,Pagado,9025
164676,Abril 2024,350,Pagado,9025
164677,Mayo 2024,350,Pagado,9025
164678,Junio 2024,350,Pagado,9025
164679,Julio 2024,350,Vencido,9025
164680,Agosto 2024,350,Pagado,9025
164681,Setiembre 2024,350,Pagado,9025
164682,Octubre 2024,350,Pagado,9025
164683,Noviembre 2024,350,Pagado,9025
164684,Diciembre 2024,350,Pagado,9025
164685,Marzo 2024,350,Pagado,9324
164686,Abril 2024,350,Pagado,9324
164687,Mayo 2024,350,Pagado,9324
164688,Junio 2024,350,Pagado,9324
164689,Julio 2024,350,Pagado,9324
164690,Agosto 2024,350,Pagado,9324
164691,Setiembre 2024,350,Pagado,9324
164692,Octubre 2024,350,Pagado,9324
164693,Noviembre 2024,350,Pagado,9324
164694,Diciembre 2024,350,Vencido,9324
164695,Marzo 2024,350,Pagado,9227
164696,Abril 2024,350,Pagado,9227
164697,Mayo 2024,350,Pagado,9227
164698,Junio 2024,350,Pagado,9227
164699,Julio 2024,350,Pagado,9227
164700,Agosto 2024,350,Pagado,9227
164701,Setiembre 2024,350,Pagado,9227
164702,Octubre 2024,350,Pagado,9227
164703,Noviembre 2024,350,Pagado,9227
164704,Diciembre 2024,350,Pagado,9227
164705,Marzo 2024,350,Pagado,9259
164706,Abril 2024,350,Pagado,9259
164707,Mayo 2024,350,Pagado,9259
164708,Junio 2024,350,Pagado,9259
164709,Julio 2024,350,Pagado,9259
164710,Agosto 2024,350,Pagado,9259
164711,Setiembre 2024,350,Pagado,9259
164712,Octubre 2024,350,Pagado,9259
164713,Noviembre 2024,350,Pagado,9259
164714,Diciembre 2024,350,Pagado,9259
164715,Marzo 2024,350,Pagado,9301
164716,Abril 2024,350,Pagado,9301
164717,Mayo 2024,350,Pagado,9301
164718,Junio 2024,350,Pagado,9301
164719,Julio 2024,350,Pagado,9301
164720,Agosto 2024,350,Pagado,9301
164721,Setiembre 2024,350,Pagado,9301
164722,Octubre 2024,350,Pagado,9301
164723,Noviembre 2024,350,Pagado,9301
164724,Diciembre 2024,350,Pagado,9301
164725,Marzo 2024,350,Pagado,8945
164726,Abril 2024,350,Pagado,8945
164727,Mayo 2024,350,Pagado,8945
164728,Junio 2024,350,Pagado,8945
164729,Julio 2024,350,Pagado,8945
164730,Agosto 2024,350,Pagado,8945
164731,Setiembre 2024,350,Pagado,8945
164732,Octubre 2024,350,Pagado,8945
164733,Noviembre 2024,350,Pagado,8945
164734,Diciembre 2024,350,Pagado,8945
164735,Marzo 2024,350,Pagado,9197
164736,Abril 2024,350,Pagado,9197
164737,Mayo 2024,350,Pagado,9197
164738,Junio 2024,350,Pagado,9197
164739,Julio 2024,350,Pagado,9197
164740,Agosto 2024,350,Pagado,9197
164741,Setiembre 2024,350,Pagado,9197
164742,Octubre 2024,350,Pagado,9197
164743,Noviembre 2024,350,Pagado,9197
164744,Diciembre 2024,350,Pagado,9197
164745,Marzo 2024,350,Pagado,9232
164746,Abril 2024,350,Pagado,9232
164747,Mayo 2024,350,Pagado,9232
164748,Junio 2024,350,Pagado,9232
164749,Julio 2024,350,Pagado,9232
164750,Agosto 2024,350,Pagado,9232
164751,Setiembre 2024,350,Pagado,9232
164752,Octubre 2024,350,Pagado,9232
164753,Noviembre 2024,350,Pagado,9232
164754,Diciembre 2024,350,Pagado,9232
164755,Marzo 2024,350,Pagado,9078
164756,Abril 2024,350,Pagado,9078
164757,Mayo 2024,350,Pagado,9078
164758,Junio 2024,350,Pagado,9078
164759,Julio 2024,350,Pagado,9078
164760,Agosto 2024,350,Pagado,9078
164761,Setiembre 2024,350,Pagado,9078
164762,Octubre 2024,350,Pagado,9078
164763,Noviembre 2024,350,Pagado,9078
164764,Diciembre 2024,350,Pagado,9078
164765,Marzo 2024,350,Pagado,8946
164766,Abril 2024,350,Pagado,8946
164767,Mayo 2024,350,Pagado,8946
164768,Junio 2024,350,Pagado,8946
164769,Julio 2024,350,Pagado,8946
164770,Agosto 2024,350,Pagado,8946
164771,Setiembre 2024,350,Pagado,8946
164772,Octubre 2024,350,Pagado,8946
164773,Noviembre 2024,350,Pagado,8946
164774,Diciembre 2024,350,Pagado,8946
164775,Marzo 2024,350,Pagado,9119
164776,Abril 2024,350,Pagado,9119
164777,Mayo 2024,350,Pagado,9119
164778,Junio 2024,350,Pagado,9119
164779,Julio 2024,350,Pagado,9119
164780,Agosto 2024,350,Pagado,9119
164781,Setiembre 2024,350,Pagado,9119
164782,Octubre 2024,350,Pagado,9119
164783,Noviembre 2024,350,Vencido,9119
164784,Diciembre 2024,350,Pagado,9119
164785,Marzo 2024,350,Pagado,9212
164786,Abril 2024,350,Pagado,9212
164787,Mayo 2024,350,Pagado,9212
164788,Junio 2024,350,Pagado,9212
164789,Julio 2024,350,Pagado,9212
164790,Agosto 2024,350,Pagado,9212
164791,Setiembre 2024,350,Pagado,9212
164792,Octubre 2024,350,Pagado,9212
164793,Noviembre 2024,350,Pagado,9212
164794,Diciembre 2024,350,Pagado,9212
164795,Marzo 2024,350,Pagado,9248
164796,Abril 2024,350,Pagado,9248
164797,Mayo 2024,350,Pagado,9248
164798,Junio 2024,350,Pagado,9248
164799,Julio 2024,350,Pagado,9248
164800,Agosto 2024,350,Pagado,9248
164801,Setiembre 2024,350,Pagado,9248
164802,Octubre 2024,350,Pagado,9248
164803,Noviembre 2024,350,Pagado,9248
164804,Diciembre 2024,350,Pagado,9248
164805,Marzo 2024,350,Pagado,9185
164806,Abril 2024,350,Pagado,9185
164807,Mayo 2024,350,Pagado,9185
164808,Junio 2024,350,Pagado,9185
164809,Julio 2024,350,Pagado,9185
164810,Agosto 2024,350,Pagado,9185
164811,Setiembre 2024,350,Pagado,9185
164812,Octubre 2024,350,Pagado,9185
164813,Noviembre 2024,350,Pagado,9185
164814,Diciembre 2024,350,Pagado,9185
164815,Marzo 2024,350,Pagado,9036
164816,Abril 2024,350,Pagado,9036
164817,Mayo 2024,350,Pagado,9036
164818,Junio 2024,350,Pagado,9036
164819,Julio 2024,350,Pagado,9036
164820,Agosto 2024,350,Pagado,9036
164821,Setiembre 2024,350,Pagado,9036
164822,Octubre 2024,350,Pagado,9036
164823,Noviembre 2024,350,Pagado,9036
164824,Diciembre 2024,350,Pagado,9036
164825,Marzo 2024,350,Pagado,9000
164826,Abril 2024,350,Pagado,9000
164827,Mayo 2024,350,Pagado,9000
164828,Junio 2024,350,Pagado,9000
164829,Julio 2024,350,Pagado,9000
164830,Agosto 2024,350,Pagado,9000
164831,Setiembre 2024,350,Pagado,9000
164832,Octubre 2024,350,Pagado,9000
164833,Noviembre 2024,350,Pagado,9000
164834,Diciembre 2024,350,Pagado,9000
164835,Marzo 2024,350,Pagado,8955
164836,Abril 2024,350,Pagado,8955
164837,Mayo 2024,350,Pagado,8955
164838,Junio 2024,350,Pagado,8955
164839,Julio 2024,350,Pagado,8955
164840,Agosto 2024,350,Pagado,8955
164841,Setiembre 2024,350,Pagado,8955
164842,Octubre 2024,350,Pagado,8955
164843,Noviembre 2024,350,Pagado,8955
164844,Diciembre 2024,350,Pagado,8955
164845,Marzo 2024,350,Pagado,9288
164846,Abril 2024,350,Pagado,9288
164847,Mayo 2024,350,Pagado,9288
164848,Junio 2024,350,Pagado,9288
164849,Julio 2024,350,Pagado,9288
164850,Agosto 2024,350,Pagado,9288
164851,Setiembre 2024,350,Pagado,9288
164852,Octubre 2024,350,Pagado,9288
164853,Noviembre 2024,350,Pagado,9288
164854,Diciembre 2024,350,Pagado,9288
164855,Marzo 2024,350,Pagado,9014
164856,Abril 2024,350,Pagado,9014
164857,Mayo 2024,350,Pagado,9014
164858,Junio 2024,350,Pagado,9014
164859,Julio 2024,350,Pagado,9014
164860,Agosto 2024,350,Pagado,9014
164861,Setiembre 2024,350,Pagado,9014
164862,Octubre 2024,350,Vencido,9014
164863,Noviembre 2024,350,Pagado,9014
164864,Diciembre 2024,350,Pagado,9014
164865,Marzo 2024,350,Pagado,8999
164866,Abril 2024,350,Pagado,8999
164867,Mayo 2024,350,Pagado,8999
164868,Junio 2024,350,Pagado,8999
164869,Julio 2024,350,Pagado,8999
164870,Agosto 2024,350,Pagado,8999
164871,Setiembre 2024,350,Pagado,8999
164872,Octubre 2024,350,Pagado,8999
164873,Noviembre 2024,350,Pagado,8999
164874,Diciembre 2024,350,Pagado,8999
164875,Marzo 2024,350,Pagado,8944
164876,Abril 2024,350,Pagado,8944
164877,Mayo 2024,350,Pagado,8944
164878,Junio 2024,350,Pagado,8944
164879,Julio 2024,350,Pagado,8944
164880,Agosto 2024,350,Pagado,8944
164881,Setiembre 2024,350,Pagado,8944
164882,Octubre 2024,350,Pagado,8944
164883,Noviembre 2024,350,Pagado,8944
164884,Diciembre 2024,350,Pagado,8944
164885,Marzo 2024,350,Pagado,9213
164886,Abril 2024,350,Pagado,9213
164887,Mayo 2024,350,Pagado,9213
164888,Junio 2024,350,Pagado,9213
164889,Julio 2024,350,Pagado,9213
164890,Agosto 2024,350,Pagado,9213
164891,Setiembre 2024,350,Pagado,9213
164892,Octubre 2024,350,Vencido,9213
164893,Noviembre 2024,350,Pagado,9213
164894,Diciembre 2024,350,Pagado,9213
164895,Marzo 2024,350,Pagado,9105
164896,Abril 2024,350,Pagado,9105
164897,Mayo 2024,350,Pagado,9105
164898,Junio 2024,350,Pagado,9105
164899,Julio 2024,350,Pagado,9105
164900,Agosto 2024,350,Pagado,9105
164901,Setiembre 2024,350,Pagado,9105
164902,Octubre 2024,350,Pagado,9105
164903,Noviembre 2024,350,Pagado,9105
164904,Diciembre 2024,350,Pagado,9105
164905,Marzo 2024,350,Pagado,9273
164906,Abril 2024,350,Pagado,9273
164907,Mayo 2024,350,Pagado,9273
164908,Junio 2024,350,Pagado,9273
164909,Julio 2024,350,Pagado,9273
164910,Agosto 2024,350,Pagado,9273
164911,Setiembre 2024,350,Pagado,9273
164912,Octubre 2024,350,Pagado,9273
164913,Noviembre 2024,350,Pagado,9273
164914,Diciembre 2024,350,Pagado,9273
164915,Marzo 2024,350,Pagado,9140
164916,Abril 2024,350,Pagado,9140
164917,Mayo 2024,350,Pagado,9140
164918,Junio 2024,350,Pagado,9140
164919,Julio 2024,350,Pagado,9140
164920,Agosto 2024,350,Pagado,9140
164921,Setiembre 2024,350,Pagado,9140
164922,Octubre 2024,350,Pagado,9140
164923,Noviembre 2024,350,Pagado,9140
164924,Diciembre 2024,350,Pagado,9140
164925,Marzo 2024,350,Pagado,9131
164926,Abril 2024,350,Pagado,9131
164927,Mayo 2024,350,Pagado,9131
164928,Junio 2024,350,Pagado,9131
164929,Julio 2024,350,Pagado,9131
164930,Agosto 2024,350,Pagado,9131
164931,Setiembre 2024,350,Pagado,9131
164932,Octubre 2024,350,Pagado,9131
164933,Noviembre 2024,350,Pagado,9131
164934,Diciembre 2024,350,Pagado,9131
164935,Marzo 2024,350,Pagado,8984
164936,Abril 2024,350,Pagado,8984
164937,Mayo 2024,350,Pagado,8984
164938,Junio 2024,350,Pagado,8984
164939,Julio 2024,350,Pagado,8984
