id,tipo,descripcion,estado,estudiante_id
6341,Rendimiento Academico,Rendimiento desaprobatorio en Comunicacion con promedio de 10.45 en el II Bimestre.,Pendiente,9097
6342,Rendimiento Academico,Rendimiento desaprobatorio en Ciencia y Tecnologia con promedio de 9.90 en el II Bimestre.,Pendiente,8995
6343,Rendimiento Academico,Rendimiento desaprobatorio en Ciencia y Tecnologia con promedio de 10.35 en el II Bimestre.,Pendiente,9293
6344,Rendimiento Academico,Rendimiento desaprobatorio en Ciencia y Tecnologia con promedio de 9.45 en el II Bimestre.,Pendiente,9030
6345,Rendimiento Academico,Rendimiento desaprobatorio en Ciencia y Tecnologia con promedio de 10.85 en el II Bimestre.,Pendiente,8985
6346,Rendimiento Academico,Rendimiento desaprobatorio en Ciencia y Tecnologia con promedio de 9.65 en el II Bimestre.,Pendiente,9116
6347,Rendimiento Academico,Rendimiento desaprobatorio en Ciencia y Tecnologia con promedio de 10.50 en el II Bimestre.,Pendiente,9123
6348,Rendimiento Academico,Rendimiento desaprobatorio en Ciencia y Tecnologia con promedio de 10.25 en el II Bimestre.,Pendiente,8954
6349,Rendimiento Academico,Rendimiento desaprobatorio en Ciencia y Tecnologia con promedio de 10.60 en el II Bimestre.,Pendiente,9106
6350,Rendimiento Academico,Rendimiento desaprobatorio en Ciencia y Tecnologia con promedio de 10.35 en el II Bimestre.,Pendiente,9140
6351,Rendimiento Academico,Rendimiento desaprobatorio en Ciencia y Tecnologia con promedio de 10.85 en el II Bimestre.,Pendiente,9049
6352,Rendimiento Academico,Rendimiento desaprobatorio en Ciencia y Tecnologia con promedio de 10.80 en el II Bimestre.,Pendiente,9226
6353,Rendimiento Academico,Rendimiento desaprobatorio en Personal Social con promedio de 10.50 en el II Bimestre.,Pendiente,8954
6354,Rendimiento Academico,Rendimiento desaprobatorio en Ingles con promedio de 9.60 en el II Bimestre.,Pendiente,8995
6355,Rendimiento Academico,Rendimiento desaprobatorio en Ingles con promedio de 10.20 en el II Bimestre.,Pendiente,9293
6356,Rendimiento Academico,Rendimiento desaprobatorio en Ingles con promedio de 10.20 en el II Bimestre.,Pendiente,9030
6357,Rendimiento Academico,Rendimiento desaprobatorio en Ingles con promedio de 10.50 en el II Bimestre.,Pendiente,9337
6358,Rendimiento Academico,Rendimiento desaprobatorio en Ingles con promedio de 10.95 en el II Bimestre.,Pendiente,9059
6359,Rendimiento Academico,Rendimiento desaprobatorio en Ingles con promedio de 9.50 en el II Bimestre.,Pendiente,9116
6360,Rendimiento Academico,Rendimiento desaprobatorio en Ingles con promedio de 9.50 en el II Bimestre.,Pendiente,8954
6361,Rendimiento Academico,Rendimiento desaprobatorio en Ingles con promedio de 9.95 en el II Bimestre.,Pendiente,9106
6362,Rendimiento Academico,Rendimiento desaprobatorio en Ingles con promedio de 10.95 en el II Bimestre.,Pendiente,9140
6363,Rendimiento Academico,Rendimiento desaprobatorio en Ingles con promedio de 10.25 en el II Bimestre.,Pendiente,9097
6364,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,8942
6365,Inasistencias,El estudiante presenta 16 inasistencias en lo que va del año académico.,Pendiente,8949
6366,Inasistencias,El estudiante presenta 11 inasistencias en lo que va del año académico.,Pendiente,8954
6367,Inasistencias,El estudiante presenta 5 inasistencias en lo que va del año académico.,Pendiente,8957
6368,Inasistencias,El estudiante presenta 6 inasistencias en lo que va del año académico.,Pendiente,8964
6369,Inasistencias,El estudiante presenta 8 inasistencias en lo que va del año académico.,Pendiente,8966
6370,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,8968
6371,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,8969
6372,Inasistencias,El estudiante presenta 5 inasistencias en lo que va del año académico.,Pendiente,8971
6373,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,8972
6374,Inasistencias,El estudiante presenta 5 inasistencias en lo que va del año académico.,Pendiente,8976
6375,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,8977
6376,Inasistencias,El estudiante presenta 8 inasistencias en lo que va del año académico.,Pendiente,8980
6377,Inasistencias,El estudiante presenta 5 inasistencias en lo que va del año académico.,Pendiente,8983
6378,Inasistencias,El estudiante presenta 10 inasistencias en lo que va del año académico.,Pendiente,8985
6379,Inasistencias,El estudiante presenta 6 inasistencias en lo que va del año académico.,Pendiente,8989
6380,Inasistencias,El estudiante presenta 9 inasistencias en lo que va del año académico.,Pendiente,8995
6381,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,8996
6382,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,8998
6383,Inasistencias,El estudiante presenta 5 inasistencias en lo que va del año académico.,Pendiente,8999
6384,Inasistencias,El estudiante presenta 7 inasistencias en lo que va del año académico.,Pendiente,9004
6385,Inasistencias,El estudiante presenta 6 inasistencias en lo que va del año académico.,Pendiente,9005
6386,Inasistencias,El estudiante presenta 5 inasistencias en lo que va del año académico.,Pendiente,9007
6387,Inasistencias,El estudiante presenta 5 inasistencias en lo que va del año académico.,Pendiente,9009
6388,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,9010
6389,Inasistencias,El estudiante presenta 6 inasistencias en lo que va del año académico.,Pendiente,9011
6390,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,9012
6391,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,9013
6392,Inasistencias,El estudiante presenta 9 inasistencias en lo que va del año académico.,Pendiente,9019
6393,Inasistencias,El estudiante presenta 5 inasistencias en lo que va del año académico.,Pendiente,9020
6394,Inasistencias,El estudiante presenta 6 inasistencias en lo que va del año académico.,Pendiente,9022
6395,Inasistencias,El estudiante presenta 6 inasistencias en lo que va del año académico.,Pendiente,9025
6396,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,9026
6397,Inasistencias,El estudiante presenta 12 inasistencias en lo que va del año académico.,Pendiente,9030
6398,Inasistencias,El estudiante presenta 14 inasistencias en lo que va del año académico.,Pendiente,9035
6399,Inasistencias,El estudiante presenta 5 inasistencias en lo que va del año académico.,Pendiente,9036
6400,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,9037
6401,Inasistencias,El estudiante presenta 14 inasistencias en lo que va del año académico.,Pendiente,9038
6402,Inasistencias,El estudiante presenta 5 inasistencias en lo que va del año académico.,Pendiente,9044
6403,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,9047
6404,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,9048
6405,Inasistencias,El estudiante presenta 16 inasistencias en lo que va del año académico.,Pendiente,9049
6406,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,9053
6407,Inasistencias,El estudiante presenta 5 inasistencias en lo que va del año académico.,Pendiente,9056
6408,Inasistencias,El estudiante presenta 11 inasistencias en lo que va del año académico.,Pendiente,9059
6409,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,9061
6410,Inasistencias,El estudiante presenta 6 inasistencias en lo que va del año académico.,Pendiente,9063
6411,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,9064
6412,Inasistencias,El estudiante presenta 13 inasistencias en lo que va del año académico.,Pendiente,9067
6413,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,9072
6414,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,9074
6415,Inasistencias,El estudiante presenta 7 inasistencias en lo que va del año académico.,Pendiente,9076
6416,Inasistencias,El estudiante presenta 5 inasistencias en lo que va del año académico.,Pendiente,9081
6417,Inasistencias,El estudiante presenta 5 inasistencias en lo que va del año académico.,Pendiente,9083
6418,Inasistencias,El estudiante presenta 5 inasistencias en lo que va del año académico.,Pendiente,9084
6419,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,9086
6420,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,9087
6421,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,9090
6422,Inasistencias,El estudiante presenta 8 inasistencias en lo que va del año académico.,Pendiente,9091
6423,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,9092
6424,Inasistencias,El estudiante presenta 5 inasistencias en lo que va del año académico.,Pendiente,9095
6425,Inasistencias,El estudiante presenta 12 inasistencias en lo que va del año académico.,Pendiente,9097
6426,Inasistencias,El estudiante presenta 7 inasistencias en lo que va del año académico.,Pendiente,9098
6427,Inasistencias,El estudiante presenta 13 inasistencias en lo que va del año académico.,Pendiente,9102
6428,Inasistencias,El estudiante presenta 15 inasistencias en lo que va del año académico.,Pendiente,9103
6429,Inasistencias,El estudiante presenta 10 inasistencias en lo que va del año académico.,Pendiente,9104
6430,Inasistencias,El estudiante presenta 14 inasistencias en lo que va del año académico.,Pendiente,9106
6431,Inasistencias,El estudiante presenta 6 inasistencias en lo que va del año académico.,Pendiente,9110
6432,Inasistencias,El estudiante presenta 7 inasistencias en lo que va del año académico.,Pendiente,9115
6433,Inasistencias,El estudiante presenta 9 inasistencias en lo que va del año académico.,Pendiente,9116
6434,Inasistencias,El estudiante presenta 14 inasistencias en lo que va del año académico.,Pendiente,9117
6435,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,9120
6436,Inasistencias,El estudiante presenta 15 inasistencias en lo que va del año académico.,Pendiente,9122
6437,Inasistencias,El estudiante presenta 13 inasistencias en lo que va del año académico.,Pendiente,9123
6438,Inasistencias,El estudiante presenta 5 inasistencias en lo que va del año académico.,Pendiente,9131
6439,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,9132
6440,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,9134
6441,Inasistencias,El estudiante presenta 5 inasistencias en lo que va del año académico.,Pendiente,9136
6442,Inasistencias,El estudiante presenta 7 inasistencias en lo que va del año académico.,Pendiente,9139
6443,Inasistencias,El estudiante presenta 10 inasistencias en lo que va del año académico.,Pendiente,9140
6444,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,9147
6445,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,9148
6446,Inasistencias,El estudiante presenta 12 inasistencias en lo que va del año académico.,Pendiente,9152
6447,Inasistencias,El estudiante presenta 6 inasistencias en lo que va del año académico.,Pendiente,9156
6448,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,9158
6449,Inasistencias,El estudiante presenta 13 inasistencias en lo que va del año académico.,Pendiente,9165
6450,Inasistencias,El estudiante presenta 8 inasistencias en lo que va del año académico.,Pendiente,9169
6451,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,9170
6452,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,9171
6453,Inasistencias,El estudiante presenta 5 inasistencias en lo que va del año académico.,Pendiente,9174
6454,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,9176
6455,Inasistencias,El estudiante presenta 11 inasistencias en lo que va del año académico.,Pendiente,9181
6456,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,9182
6457,Inasistencias,El estudiante presenta 5 inasistencias en lo que va del año académico.,Pendiente,9186
6458,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,9187
6459,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,9191
6460,Inasistencias,El estudiante presenta 16 inasistencias en lo que va del año académico.,Pendiente,9194
6461,Inasistencias,El estudiante presenta 5 inasistencias en lo que va del año académico.,Pendiente,9199
6462,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,9203
6463,Inasistencias,El estudiante presenta 8 inasistencias en lo que va del año académico.,Pendiente,9206
6464,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,9208
6465,Inasistencias,El estudiante presenta 6 inasistencias en lo que va del año académico.,Pendiente,9209
6466,Inasistencias,El estudiante presenta 5 inasistencias en lo que va del año académico.,Pendiente,9210
6467,Inasistencias,El estudiante presenta 10 inasistencias en lo que va del año académico.,Pendiente,9216
6468,Inasistencias,El estudiante presenta 7 inasistencias en lo que va del año académico.,Pendiente,9217
6469,Inasistencias,El estudiante presenta 6 inasistencias en lo que va del año académico.,Pendiente,9219
6470,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,9225
6471,Inasistencias,El estudiante presenta 8 inasistencias en lo que va del año académico.,Pendiente,9226
6472,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,9230
6473,Inasistencias,El estudiante presenta 13 inasistencias en lo que va del año académico.,Pendiente,9234
6474,Inasistencias,El estudiante presenta 6 inasistencias en lo que va del año académico.,Pendiente,9235
6475,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,9241
6476,Inasistencias,El estudiante presenta 7 inasistencias en lo que va del año académico.,Pendiente,9242
6477,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,9243
6478,Inasistencias,El estudiante presenta 5 inasistencias en lo que va del año académico.,Pendiente,9245
6479,Inasistencias,El estudiante presenta 6 inasistencias en lo que va del año académico.,Pendiente,9248
6480,Inasistencias,El estudiante presenta 5 inasistencias en lo que va del año académico.,Pendiente,9250
6481,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,9261
6482,Inasistencias,El estudiante presenta 5 inasistencias en lo que va del año académico.,Pendiente,9263
6483,Inasistencias,El estudiante presenta 13 inasistencias en lo que va del año académico.,Pendiente,9267
6484,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,9272
6485,Inasistencias,El estudiante presenta 10 inasistencias en lo que va del año académico.,Pendiente,9273
6486,Inasistencias,El estudiante presenta 6 inasistencias en lo que va del año académico.,Pendiente,9277
6487,Inasistencias,El estudiante presenta 9 inasistencias en lo que va del año académico.,Pendiente,9281
6488,Inasistencias,El estudiante presenta 11 inasistencias en lo que va del año académico.,Pendiente,9283
6489,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,9287
6490,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,9288
6491,Inasistencias,El estudiante presenta 8 inasistencias en lo que va del año académico.,Pendiente,9291
6492,Inasistencias,El estudiante presenta 15 inasistencias en lo que va del año académico.,Pendiente,9293
6493,Inasistencias,El estudiante presenta 7 inasistencias en lo que va del año académico.,Pendiente,9294
6494,Inasistencias,El estudiante presenta 5 inasistencias en lo que va del año académico.,Pendiente,9297
6495,Inasistencias,El estudiante presenta 5 inasistencias en lo que va del año académico.,Pendiente,9298
6496,Inasistencias,El estudiante presenta 6 inasistencias en lo que va del año académico.,Pendiente,9303
6497,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,9304
6498,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,9311
6499,Inasistencias,El estudiante presenta 5 inasistencias en lo que va del año académico.,Pendiente,9314
6500,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,9320
6501,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,9321
6502,Inasistencias,El estudiante presenta 5 inasistencias en lo que va del año académico.,Pendiente,9328
6503,Inasistencias,El estudiante presenta 5 inasistencias en lo que va del año académico.,Pendiente,9332
6504,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,9333
6505,Inasistencias,El estudiante presenta 12 inasistencias en lo que va del año académico.,Pendiente,9337
6506,Inasistencias,El estudiante presenta 4 inasistencias en lo que va del año académico.,Pendiente,9338
